Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
HD113414BessellV1956_cal.fits,1,0,60060.461538,2460060.461538,2460060.461451,2460060.467103,2460060.467953,2.143989,27.671154,NaN,15,13.060836,-16.336575,6.937363,12,24,35,2.948734,0,0.004930,0,598.083515,0,479051.488112,692.170157,1019.340923,1024.140992,1019.840923,1024.359008,1412595.395212,452.389342,1188.546702,1188.506428,14887.338867,3122.521385,-5258.689970,1667,6.895205,11.186070,10.681031,11.691108,70.794758,0.986774,1754.347234,1629.354256,1754.847234,419.145744,479051.488112,692.170157,692.100755,1162.728271,1058.936282,-5341.916611,6.979521,11.218880,10.769601,11.668158,71.157014,0.989790
HD113414BessellV1957_cal.fits,2,0,60060.463564,2460060.463564,2460060.463477,2460060.469129,2460060.469979,2.100517,28.301422,NaN,15,13.060836,-16.336575,8.082233,12,24,35,2.955419,0,0.005003,0,590.770716,0,467141.278143,683.512178,1021.061871,1025.425376,1021.561871,1023.074624,1380598.412005,452.389342,1175.009183,1174.968189,9818.025391,3051.792524,-5267.532060,1738,8.304684,11.726665,11.433470,12.019859,58.328755,0.987593,1755.994846,1630.862764,1756.494846,417.637236,467141.278143,683.512178,683.442510,81.356796,1032.608938,-5349.283788,7.859783,11.678858,11.190043,12.167673,68.649467,0.987071
HD113414BessellV1958_cal.fits,3,0,60060.463766,2460060.463766,2460060.463679,2460060.469331,2460060.470181,2.096282,28.364408,NaN,15,13.060836,-16.336575,8.027657,12,24,35,2.917001,0,0.004959,0,588.196069,0,464620.738984,681.666035,1018.034033,1024.784316,1018.534033,1023.715684,1355299.093667,452.389342,1164.193841,1164.152434,8675.300781,2995.868752,-5261.070095,1699,8.446073,11.955800,11.814040,12.097560,54.735739,0.994940,1752.679193,1630.303314,1753.179193,418.196686,464620.738984,681.666035,681.595847,-546.036377,1027.037323,-5348.286924,7.609241,11.917440,11.741676,12.093204,63.859371,0.997676
HD113414BessellV1959_cal.fits,4,0,60060.463968,2460060.463968,2460060.463882,2460060.469534,2460060.470383,2.092070,28.427350,NaN,15,13.060836,-16.336575,7.898318,12,24,35,2.933805,0,0.005012,0,585.320166,0,459415.770439,677.837101,1016.971758,1025.933598,1017.471758,1022.566402,1347836.142052,452.389342,1160.984164,1160.942745,9030.462891,2979.372007,-5264.180905,1784,8.285403,11.825108,11.433630,12.216586,64.474626,0.988931,1751.628621,1631.197213,1752.128621,417.302787,459415.770439,677.837101,677.767224,-504.869751,1015.531817,-5349.264877,7.511232,11.851311,11.458927,12.243695,66.995072,0.990930
HD113414BessellV1960_cal.fits,5,0,60060.464172,2460060.464172,2460060.464085,2460060.469737,2460060.470587,2.087850,28.490697,NaN,15,13.060836,-16.336575,7.984003,12,24,35,2.935787,0,0.004986,0,588.771886,0,464770.479948,681.775892,1015.616043,1025.593868,1016.116043,1022.906132,1364467.220372,452.389342,1168.125261,1168.082967,9983.368164,3016.134761,-5267.000883,1692,8.200943,11.541841,11.317409,11.766274,59.696898,0.993726,1750.648006,1630.964759,1751.148006,417.535241,464770.479948,681.775892,681.705654,-210.572250,1027.368323,-5351.644797,7.767063,11.642821,11.305102,11.980539,69.039645,0.993931
HD113414BessellV1961_cal.fits,6,0,60060.464374,2460060.464374,2460060.464287,2460060.469939,2460060.470789,2.083681,28.553576,NaN,15,13.060836,-16.336575,7.345282,12,24,35,2.907373,0,0.004902,0,593.043287,0,472708.722712,687.573099,1014.848660,1025.174299,1015.348660,1023.325701,1374340.646032,452.389342,1172.343180,1172.302334,11606.424805,3037.959824,-5267.084469,1666,7.729461,11.553498,11.114409,11.992587,73.549611,0.991828,1749.394447,1630.626580,1749.894447,417.873420,472708.722712,687.573099,687.503224,1031.643921,1044.915693,-5351.789765,6.961103,11.413980,10.905717,11.922244,81.602890,0.991380
HD113414BessellV1962_cal.fits,7,0,60060.464576,2460060.464576,2460060.464490,2460060.470141,2460060.470991,2.079526,28.616525,NaN,15,13.060836,-16.336575,8.403813,12,24,35,2.891687,0,0.004897,0,590.522390,0,469349.576058,685.126079,1015.360587,1025.407512,1015.860587,1023.092488,1357211.877937,452.389342,1165.014928,1164.973809,7047.267090,3000.096933,-5266.602788,1646,9.388858,12.202480,12.094160,12.310801,49.373042,0.986369,1750.321894,1630.952919,1750.821894,417.547081,469349.576058,685.126079,685.055773,-959.731140,1037.490348,-5355.407084,7.418767,12.196870,11.922635,12.471105,57.027914,0.987843
HD113414BessellV1963_cal.fits,8,0,60060.464779,2460060.464779,2460060.464692,2460060.470344,2460060.471193,2.075391,28.679455,NaN,15,13.060836,-16.336575,7.987440,12,24,35,2.930136,0,0.004939,0,593.273971,0,472135.969042,687.156328,1015.851585,1026.677593,1016.351585,1021.822407,1383422.447574,452.389342,1176.210398,1176.169204,9826.435547,3058.035013,-5270.254689,1698,8.214752,11.710455,11.420006,12.000905,59.843452,0.989980,1750.474560,1632.186377,1750.974560,416.313623,472135.969042,687.156328,687.086693,-200.940735,1043.649629,-5355.059007,7.760127,11.697520,11.237692,12.157349,73.639125,0.991294
HD113414BessellV1964_cal.fits,9,0,60060.464982,2460060.464982,2460060.464895,2460060.470547,2460060.471397,2.071248,28.742806,NaN,15,13.060836,-16.336575,8.001942,12,24,35,2.944550,0,0.004960,0,593.706533,0,472235.685885,687.228865,1016.487336,1026.489954,1016.987336,1022.010046,1390521.618310,452.389342,1179.224076,1179.183538,10439.373047,3073.727625,-5266.585820,1702,8.067199,11.521393,11.186863,11.855923,72.818132,0.995059,1751.238031,1631.836597,1751.738031,416.663403,472235.685885,687.228865,687.159271,-366.258728,1043.870052,-5353.468864,7.936685,11.708094,11.359685,12.056504,83.559157,0.996279
HD113414BessellV1965_cal.fits,10,0,60060.465184,2460060.465184,2460060.465098,2460060.470749,2460060.471599,2.067150,28.805740,NaN,15,13.060836,-16.336575,7.789320,12,24,35,2.950450,0,0.005001,0,589.952430,0,466046.510152,682.710814,1016.966118,1026.337946,1017.466118,1022.162054,1375046.710945,452.389342,1172.644415,1172.603300,9770.486328,3039.520570,-5267.262374,1751,8.026005,11.783371,11.041519,12.525223,75.239976,0.979227,1751.671925,1631.901128,1752.171925,416.598872,466046.510152,682.710814,682.641172,-237.764633,1030.188969,-5350.181388,7.552635,11.850597,11.149334,12.551861,79.269789,0.983941
