Probability,Num of Heads,Multiplicity,N,Mult of All
8.88178419700125E-14,0,1,50,1125899906842624
4.44089209850062E-12,1,50,,
1.08801856413265E-10,2,1225,,
1.74082970261224E-09,3,19600,,
2.04547490056939E-08,4,230300,,
1.88183690852384E-07,5,2118760,,
1.41137768139288E-06,6,15890700,,
8.87151685446952E-06,7,99884400,,
4.76844030927736E-05,8,536878650,,
0.000222527214432944,9,2505433700,,
0.000912361579175069,10,10272278170,,
0.00331767846972752,11,37353738800,,
0.0107824550266145,12,121399651100,,
0.0315179454624115,13,354860518600,,
0.083297427293516,14,937845656300,,
0.199913825504439,15,2250829575120,,
0.437311493290959,16,4923689695575,,
0.874622986581919,17,9847379391150,,
1.60347547540018,18,18053528883775,,
2.7005902743582,19,30405943383200,,
4.18591492525522,20,47129212243960,,
5.97987846465031,21,67327446062800,,
7.88256706703905,22,88749815264600,,
9.59616860335188,23,108043253365600,,
10.7956896787709,24,121548660036300,,
11.2275172659217,25,126410606437752,,
10.7956896787709,26,121548660036300,,
9.59616860335188,27,108043253365600,,
7.88256706703905,28,88749815264600,,
5.97987846465031,29,67327446062800,,
4.18591492525522,30,47129212243960,,
2.7005902743582,31,30405943383200,,
1.60347547540018,32,18053528883775,,
0.874622986581919,33,9847379391150,,
0.437311493290959,34,4923689695575,,
0.199913825504439,35,2250829575120,,
0.083297427293516,36,937845656300,,
0.0315179454624115,37,354860518600,,
0.0107824550266145,38,121399651100,,
0.00331767846972752,39,37353738800,,
0.000912361579175069,40,10272278170,,
0.000222527214432944,41,2505433700,,
4.76844030927736E-05,42,536878650,,
8.87151685446952E-06,43,99884400,,
1.41137768139288E-06,44,15890700,,
1.88183690852384E-07,45,2118760,,
2.04547490056939E-08,46,230300,,
1.74082970261224E-09,47,19600,,
1.08801856413265E-10,48,1225,,
4.44089209850062E-12,49,50,,
8.88178419700125E-14,50,1,,
