voltage,counts-voltage,300,320,340,360,380,400,420,440,460,480,500,,current,counts-current,,LiF,Actual-angle (2*alpha),Actual-angle (2*beta),angle1,counts per angle1,,angle2,counts per angle2
300,0,0,0,0,150,1378,1874,1470,970,406,118,37,,5,1241,,known d = .2014nm,45,40,12,3,,44,645
320,0,,,,166,1383,1885,1519,928,413,136,38,,10,1769,,12 → 110,,,13,2,,44.167,1238
340,0,,,,165,1391,1875,1550,964,410,122,40,,15,1822,,M = 2,,,14,2,,44.333,1202
360,160.1,,,,160,1412,1883,1528,988,423,108,36,,20,1873,,1,,,15,7,,44.5,1235
380,1391.3,,,,163,1368,1876,1582,936,453,143,45,,25,1939,,,,,16,4,,44.667,1160
400,1876.1,,,,155,1402,1850,1524,930,427,117,34,,30,2011,,,,,17,8,,44.833,969
420,1522.3,,,,160,1439,1880,1509,957,444,148,51,,35,2069,,,,,18,11,,45,966
440,960.5,,,,152,1382,1872,1516,969,432,119,33,,40,2100,,,,,19,13,,,
460,427.7,,,,172,1347,1893,1513,978,441,130,33,,45,2093,,,,,20,31,,,
480,127.8,,,,158,1411,1873,1512,985,428,137,39,,50,2085,,,,,21,45,,,
500,38.6,,,,,,,,,,,,,55,2051,,,,,22,51,,,
,,,,,,,,,,,,,,60,2021,,,,,23,45,,,
,,,,,,,,,,,,,,65,2012,,,,,24,32,,,
,,,,,,,,,,,,,,70,1937,,,,,25,53,,,
,,,,,,,,,,,,,,75,1919,,,,,26,59,,,
,,,,,,,,,,,,,,80,1837,,,,,27,60,,,
,,,,,,,,,,,,,,85,1793,,,,,28,62,,,
,,,,,,,,,,,,,,90,1746,,,,,29,33,,,
,,,,,,,,,,,,,,95,1673,,,,,30,35,,,
,,,,,,,,,,,,,,100,1645,,,,,31,33,,,
,,,,,,,,,,,,,,,,,,,,32,60,,,
,,,,,,,,,,,,,,,,,,,,33,62,,,
,,,,,,,,,,,,,,,,,,,,34,52,,,
,,,,,,,,,,,,,,,,,,,,35,57,,,
,,,,,,,,,,,,,,,,,,,,36,55,,,
,,,,,,,,,,,,,,,,,,,,37,52,,,
,,,,,,,,,,,,,,,,,,,,38,66,,,
,,,,,,,,,,,,,,,,,,,,39,61,,,
,,,,,,,,,,,,,,,,,,,,40,515,,,
,,,,,,,,,,,,,,,,,,,,41,80,,,
,,,,,,,,,,,,,,,,,,,,42,47,,,
,,,,,,,,,,,,,,,,,,,,43,56,,,
,,,,,,,,,,,,,,,,,,,,44,645,,,
,,,,,,,,,,,,,,,,,,,,45,966,,,
,,,,,,,,,,,,,,,,,,,,46,42,,,
,,,,,,,,,,,,,,,,,,,,47,45,,,
,,,,,,,,,,,,,,,,,,,,48,32,,,
,,,,,,,,,,,,,,,,,,,,49,36,,,
,,,,,,,,,,,,,,,,,,,,50,27,,,
,,,,,,,,,,,,,,,,,,,,51,27,,,
,,,,,,,,,,,,,,,,,,,,52,18,,,
,,,,,,,,,,,,,,,,,,,,53,23,,,
,,,,,,,,,,,,,,,,,,,,54,13,,,
,,,,,,,,,,,,,,,,,,,,55,22,,,
,,,,,,,,,,,,,,,,,,,,56,17,,,
,,,,,,,,,,,,,,,,,,,,57,21,,,
,,,,,,,,,,,,,,,,,,,,58,25,,,
,,,,,,,,,,,,,,,,,,,,59,17,,,
,,,,,,,,,,,,,,,,,,,,60,20,,,
,,,,,,,,,,,,,,,,,,,,61,13,,,
,,,,,,,,,,,,,,,,,,,,62,13,,,
,,,,,,,,,,,,,,,,,,,,63,14,,,
,,,,,,,,,,,,,,,,,,,,64,13,,,
,,,,,,,,,,,,,,,,,,,,65,10,,,
,,,,,,,,,,,,,,,,,,,,66,10,,,
,,,,,,,,,,,,,,,,,,,,67,13,,,
,,,,,,,,,,,,,,,,,,,,68,12,,,
,,,,,,,,,,,,,,,,,,,,69,12,,,
,,,,,,,,,,,,,,,,,,,,70,3,,,
,,,,,,,,,,,,,,,,,,,,71,10,,,
,,,,,,,,,,,,,,,,,,,,72,7,,,
,,,,,,,,,,,,,,,,,,,,73,5,,,
,,,,,,,,,,,,,,,,,,,,74,7,,,
,,,,,,,,,,,,,,,,,,,,75,4,,,
,,,,,,,,,,,,,,,,,,,,76,10,,,
,,,,,,,,,,,,,,,,,,,,77,8,,,
,,,,,,,,,,,,,,,,,,,,78,10,,,
,,,,,,,,,,,,,,,,,,,,79,6,,,
,,,,,,,,,,,,,,,,,,,,80,8,,,
,,,,,,,,,,,,,,,,,,,,81,13,,,
,,,,,,,,,,,,,,,,,,,,82,7,,,
,,,,,,,,,,,,,,,,,,,,83,15,,,
,,,,,,,,,,,,,,,,,,,,84,6,,,
,,,,,,,,,,,,,,,,,,,,85,9,,,
,,,,,,,,,,,,,,,,,,,,86,10,,,
,,,,,,,,,,,,,,,,,,,,87,82,,,
,,,,,,,,,,,,,,,,,,,,88,16,,,
,,,,,,,,,,,,,,,,,,,,89,12,,,
,,,,,,,,,,,,,,,,,,,,90,8,,,
,,,,,,,,,,,,,,,,,,,,91,12,,,
,,,,,,,,,,,,,,,,,,,,92,9,,,
,,,,,,,,,,,,,,,,,,,,93,5,,,
,,,,,,,,,,,,,,,,,,,,94,9,,,
,,,,,,,,,,,,,,,,,,,,95,5,,,
,,,,,,,,,,,,,,,,,,,,96,9,,,
,,,,,,,,,,,,,,,,,,,,97,12,,,
,,,,,,,,,,,,,,,,,,,,98,7,,,
,,,,,,,,,,,,,,,,,,,,99,43,,,
,,,,,,,,,,,,,,,,,,,,100,200,,,
,,,,,,,,,,,,,,,,,,,,101,14,,,
,,,,,,,,,,,,,,,,,,,,102,11,,,
,,,,,,,,,,,,,,,,,,,,103,7,,,
,,,,,,,,,,,,,,,,,,,,104,11,,,
,,,,,,,,,,,,,,,,,,,,105,7,,,
,,,,,,,,,,,,,,,,,,,,106,8,,,
,,,,,,,,,,,,,,,,,,,,107,6,,,
,,,,,,,,,,,,,,,,,,,,108,8,,,
,,,,,,,,,,,,,,,,,,,,109,8,,,
,,,,,,,,,,,,,,,,,,,,110,13,,,
