m*lambda,Hr-graph,residuals,unused,Hr [rad],cos Hr,sin Hr,,,Coefficients,Standard Error
-447.15,319.5083335,-0.273295241,-2350.24363.083333,5.576472407,0.760500418,-0.649337443,,Intercept,-1250.585201,108.2070782
-471.31,319.916667,-1.054922028,-1413.93340.52500015,5.583599171,0.76510874,-0.643901091,,X1,-1509.334369,89.99104722
-492.19,320.2333335,-3.771305948,-1413.04340.52500015,5.589126044,0.768655796,-0.63966262,,X2,-2999.231006,69.24599616
-501.57,320.433333,-1.664786631,,5.592616694,0.770883947,-0.63697562,,,,
-587.56,321.9,-3.08449729,,5.618214862,0.786935022,-0.617035875,,,,
-667.82,323.2583335,-4.528110208,,5.641922254,0.801340829,-0.598208054,,,,
-706.52,323.9750002,-1.468545223,,5.654430447,0.808760449,-0.588138194,,,,
-894.3,327.2,-0.030240299,,5.710717313,0.840566603,-0.54170821,,,,
-942.62,328.0416667,1.333649226,,5.725407167,0.84843324,-0.529302406,,,,
-984.38,328.725,-0.011998863,,5.737333584,0.854685432,-0.519146234,,,,
-1003.14,329.0166669,-1.502516043,,5.74242413,0.857317085,-0.514788711,,,,
-1009.54,329.1500002,-0.004216417,,5.744751236,0.85851273,-0.512792251,,,,
-1175.12,331.9750002,2.222854448,,5.794056787,0.882742664,-0.469856774,,,,
-1335.64,334.666667,2.157107135,,5.841035236,0.903833772,-0.42788376,,,,
-1341.45,334.8916665,9.773335679,,5.844962218,0.905507091,-0.424331131,,,,
-1476.57,337.1,6.458138738,,5.883504908,0.921185406,-0.38912395,,,,
-1504.71,337.5583335,5.66964529,,5.891504337,0.924268668,-0.381742622,,,,
-1514.31,337.758333,8.003216212,,5.894994987,0.925595564,-0.378514004,,,,
-1762.68,342.0000002,12.21694319,,5.969026044,0.951056517,-0.309016992,,,,
-1788.6,342.366667,8.061168696,,5.975425588,0.953014597,-0.302924378,,,,
-1885.24,344.1833335,19.01145723,,6.0071324,0.962138751,-0.272560131,,,,
-1968.76,346.1583335,51.90941229,,6.041602653,0.970960557,-0.23923962,,,,
-2350.24,352.216667,22.54197606,,6.14734052,0.990787277,-0.135427364,,,,
447.15,302.9583335,1.140039989,,5.287620416,0.544028995,-0.839066417,,,,
471.31,302.4333335,-0.848805557,,5.278457437,0.536317917,-0.84401605,,,,
492.19,301.9916667,-1.843736048,,5.270748897,0.529795915,-0.848125161,,,,
501.57,301.7916665,-2.331925063,,5.267258236,0.526832176,-0.849969328,,,,
587.56,300.0666667,-0.466531853,,5.237151309,0.501007327,-0.865443041,,,,
667.82,298.4916665,4.576021081,,5.20966237,0.477030934,-0.878886505,,,,
706.52,297.6,1.388711764,,5.194099854,0.463296035,-0.886203579,,,,
