A,B,B+180,Hr,Hr [rad],Theta r,Diff order-wrong,Diff Order,Color ,Brightness,Lambda [nm],,A,B,B+180,Hr,Hr [rad],Theta r,Diff order-wrong,Diff Order,Color ,Brightness,Lambda [nm],,d,m*lambda(He),Hr-graph(He),m*lambda(H),Hr-graph(H),Hr-graph(H) [rad],y=1/lamb,x,n initial,n final,,Regression,,,,,,
334.366667,154.466667,334.466667,334.416667,,,Normal ,Normal,,,,,311.466667,131.466667,311.466667,311.466667,5.436116906,22.95,0,0,H,***,,,300,,,,,,,,,,,Regression Model,Linear,,,,,
331.4,131.483333,311.483333,321.4416665,5.610215434,22.933334,0,0,He,***,,,320.133333,140.216667,320.216667,320.175,5.588105934,14.2,1,-1,breen,*,487.722639,,,,,-487.722639,320.1541665,5.587742321,0.002050346,0.1875,4,2,,,,,,,,
319.5,139.516667,319.516667,319.5083335,5.576472407,14.9,1,-1,burple,***,447.15,,323.133333,143.216667,323.216667,323.175,5.640465793,11.2,1,-1,red,***,659.8955675,,,-447.15,319.5083335,-659.8955675,323.1541665,5.64010218,0.001515391,0.138888889,3,2,,LINEST raw output,,,,,,
319.916667,139.916667,319.916667,319.916667,5.583599171,14.5,1,-1,blue,*,471.31,,326.666667,141.833333,321.833333,324.25,5.659228076,12.583334,1,-1,purple,,583.8641179,,,-471.31,319.916667,-583.8641179,321.833333,5.617049295,0.001712727,0.21,5,2,,-3127.587163,-1383.521,-1425.567856,,,,
320.166667,140.3,320.3,320.2333335,5.589126044,14.116667,1,-1,green,*,492.19,,328.55,148.583333,328.583333,328.5666665,5.734568092,5.833334,2,-2,breen,*,486.905085,,,-492.19,320.2333335,-973.8101701,328.5583333,5.734422651,0.002053788,0.1875,4,2,,69.24599616,89.99104722,108.2070782,,,,
320.383333,140.483333,320.483333,320.433333,5.592616694,13.933334,1,-1,green,**,501.57,,334.0833333,154.166667,334.166667,334.1250002,5.831579281,0.25,2,-2,purple,,649.2431773,,,-501.57,320.433333,-1298.486355,334.1041667,5.831215669,0.001540255,0.21,5,2,,0.99940305,23.00795158,#N/A,,,,
321.833333,141.966667,321.966667,321.9,5.618214862,12.45,1,-1,yellow,***,587.56,,334.25,154.366667,334.366667,334.3083335,5.83477905,0.05,2,-2,red,**,654.3701394,,,-587.56,321.9,-1308.740279,334.2791668,5.834269995,0.001528187,0.138888889,3,2,,24275.6493,29,#N/A,,,,
323.166667,143.35,323.35,323.2583335,5.641922254,11.066667,1,-1,red,**,667.82,,336.783333,156.85,336.85,336.8166665,5.878557704,2.433333,3,-3,breen,*,485.4459707,,,-667.82,323.2583335,-1456.337912,336.7999998,5.878266815,0.002059961,0.1875,4,2,,25701398.75,15351.60924,#N/A,,,,
323.916667,144.0333333,324.0333333,323.9750002,5.654430447,10.3833337,1,-1,red,*,706.52,,345,165.1,345.1,345.05,6.022256431,10.683333,3,-3,purple,,644.5531734,,,-706.52,323.9750002,-1933.65952,345.025,6.021820099,0.001551462,0.21,5,2,,,,,,,,
327.166667,147.233333,327.233333,327.2,5.710717313,7.183334,2,-2,burple,**,447.15,,345.55,165.55,345.55,345.55,6.030983074,11.133333,3,-3,red,*,654.5842105,,,-894.3,327.2,-1963.752632,345.55,6.030983074,0.001527687,0.138888889,3,2,,Regression Statistics,,,,,,
328,148.0833333,328.0833333,328.0416667,5.725407167,6.3333337,2,-2,blue,*,471.31,,302.1,122.166667,302.166667,302.1333335,5.273219564,32.25,-1,1,breen,*,487.2407881,,,-942.62,328.0416667,487.2407881,302.1166668,5.272928675,0.002052373,0.1875,4,2,,R^2,0.99940305,,,,,
328.683333,148.766667,328.766667,328.725,5.737333584,5.65,2,-2,green,*,492.19,,303.166667,123.216667,303.216667,303.191667,5.291690962,31.2,-1,1,purple,,433.6700183,,,-984.38,328.725,433.6700183,303.179167,5.291472796,0.002305901,0.21,5,2,,Standard Error,23.00795158,,,,,
328.966667,149.0666667,329.0666667,329.0166669,5.74242413,5.3500003,2,-2,green,**,501.57,,298.0833333,118.7,298.7,298.3916667,5.207915181,35.716667,-1,1,red,**,677.6168158,,,-1003.14,329.0166669,677.6168158,298.2375,5.205224467,0.00147576,0.138888889,3,2,,Count of X variables,2,,,,,
329.0833333,149.216667,329.216667,329.1500002,5.744751236,5.2,2,-2,green,,504.77,,291.75,111.833333,291.833333,291.7916665,5.092723489,42.583334,-2,2,breen,*,487.462357,,,-1009.54,329.1500002,974.9247139,291.7708333,5.092359882,0.00205144,0.1875,4,2,,Observations,32,,,,,
331.916667,152.0333333,332.0333333,331.9750002,5.794056787,2.3833337,2,-2,yellow,***,587.56,,293.966667,114.0333333,294.0333333,294.0000002,5.131266169,40.3833337,-2,2,purple,,438.1038377,,,-1175.12,331.9750002,876.2076753,293.9833336,5.130975283,0.002282564,0.21,5,2,,Adjusted R^2,0.999361881,,,,,
334.616667,154.716667,334.716667,334.666667,5.841035236,0.3,2,-2,red,**,667.82,,283.25,103.316667,283.316667,283.2833335,4.944225118,51.1,-2,2,red,*,661.1202005,,,-1335.64,334.666667,1322.240401,283.2666668,4.943934229,0.001512584,0.138888889,3,2,,,,,,,,
335.966667,165.0833333,345.0833333,340.5250002,5.943282438,10.6666663,2,-2,red,*,706.52,,,,,,,,,,,,,,,-1413.04,340.5250002,,,,,,,,,Analysis of Variance (ANOVA),,,,,,
334.85,154.933333,334.933333,334.8916665,5.844962218,0.516666,3,-3,burple,**,447.15,,,,,,,,,,,,,,,-1341.45,334.8916665,,,,,,,,,,df,SS,MS,F,Significance F,
335.966667,165.0833333,345.0833333,340.5250002,5.943282438,10.6666663,3,-3,blue,*,471.31,,,,,,,,,,,,,,,-1413.93,340.5250002,,,,,,,,,Regression,2,25701398.75,12850699.38,24275.6493,1.78E-47,
337,157.2,337.2,337.1,5.883504908,2.783333,3,-3,green,*,492.19,,,,,,,,,,,,,,,-1476.57,337.1,,,,,,,,,Residual,29,15351.60924,529.3658357,,,
337.5,157.616667,337.616667,337.5583335,5.891504337,3.2,3,-3,green,**,501.57,,,,,,,,,,,,,,,-1504.71,337.5583335,,,,,,,,,Total,31,25716750.36,,,,
337.683333,157.833333,337.833333,337.758333,5.894994987,3.416666,3,-3,green,,504.77,,,,,,,,,,,,,,,-1514.31,337.758333,,,,,,,,,,,,,,,
341.916667,162.0833333,342.0833333,342.0000002,5.969026044,7.6666663,3,-3,yellow,**,587.56,,,,,,,,,,,,,,,-1762.68,342.0000002,,,,,,,,,Confidence level,0.95,,,,,
346.0833333,166.166667,346.166667,346.1250002,6.041020876,11.75,3,-3,red,*,706.52,,,,,,,,,,,,,,,-2119.56,346.1250002,,,,,,,,,,,,,,,
342.366667,162.366667,342.366667,342.366667,5.975425588,7.95,4,-4,burple,*,447.15,,,,,,,,,,,,,,,-1788.6,342.366667,,,,,,,,,,Coefficients,Standard Error,t-Statistic,P-value,Lower 95%,Upper 95%
