Spectrum Name:,,,,,,,,,Channel,Energy,Counts,Gross,LN(count),Absorption-Thickness
Description:,,,,,,,,,0,,116,6821,,
Student ID:,,,,,,,,,1,,105,6102,,
Detector Used:,,,,,,,,,2,,116,5500,,
Comments:,,,,,,,,,3,,103,5019,,
Acquisition Mode:,MCS Internal,,,,,,,,4,,109,4566,,
High Voltage:,950,,,,,,,,5,,116,4110,,
Conversion Gain:,1024,,,,,,,,6,,118,,,
Coarse Gain:,1,,,,,,,,7,,117,,,
Fine Gain:,1,,,,,,,,8,,99,,,
Upper Discriminator:,1048,,,,,,,,9,,129,,,
Lower Discriminator:,103,,,,,,,,10,,123,,,
Calibration Coefficients:Elapsed Real Time:,0,,,,,,,,11,,128,,,
Elapsed Live Time:,0,,,,,,,,12,,99,,,
Start Time:,6-Dec,2022, 02:55:46,,,,,,13,,121,,,
End Time:,6-Dec,2022, 03:01:37,,,,,,14,,96,,,
ROIs:,,,,,,,,,15,,92,,,
ROI:,Low,High,Gross,Net,FWHM,Centroid,,,16,,117,,,
,,,,,,,,,17,,114,,,
,,,,,,,,,18,,112,,,
Channel Data:,,,,,,,,,19,,116,,,
,,,,,,,,,20,,113,,,
,,,,,,,,,21,,120,,,
,,,,,,,,,22,,102,,,
,,,,,,,,,23,,110,,,
,,,,,,,,,24,,102,,,
,,,,,,,,,25,,113,,,
,,,,,,,,,26,,117,,,
,,,,,,,,,27,,106,,,
,,,,,,,,,28,,116,,,
,,,,,,,,,29,,108,,,
,,,,,,,,,30,,100,,,
,,,,,,,,,31,,95,,,
,,,,,,,,,32,,116,,,
,,,,,,,,,33,,117,,,
,,,,,,,,,34,,102,,,
,,,,,,,,,35,,101,,,
,,,,,,,,,36,,108,,,
,,,,,,,,,37,,116,,,
,,,,,,,,,38,,117,,,
,,,,,,,,,39,,108,,,
,,,,,,,,,40,,104,,,
,,,,,,,,,41,,107,,,
,,,,,,,,,42,,120,,,
,,,,,,,,,43,,114,,,
,,,,,,,,,44,,102,,,
,,,,,,,,,45,,98,,,
,,,,,,,,,46,,122,,,
,,,,,,,,,47,,121,,,
,,,,,,,,,48,,108,,,
,,,,,,,,,49,,98,,,
,,,,,,,,,50,,109,,,
