Spectrum Name:,,,,,,,,Channel,Energy,Counts,Gross,LN(count),Absorption-Thickness
Description:,,,,,,,,14,,138,6821,-0.111389502378104,1.65
Student ID:,,,,,,,,15,,124,6102,-0.215257996434157,3.3
Detector Used:,,,,,,,,16,,134,5500,-0.306775377999786,4.95
Comments:,,,,,,,,17,,160,5019,-0.401368540564978,6.6
Acquisition Mode:,PHA Pre-Amp,,,,,,,18,,147,4566,-0.506583060164439,8.25
High Voltage:,950,,,,,,,19,,173,4110,,
Conversion Gain:,1024,,,,,,,20,,202,,,
Coarse Gain:,1,,,,,,,21,,194,,,
Fine Gain:,1,,,,,,,22,,218,,,
Upper Discriminator:,256,,,,,,,23,,258,,,
Lower Discriminator:,14,,,,,,,24,,303,,,
Calibration Coefficients:Elapsed Real Time:,60.63,,,,,,,25,,287,,,
Elapsed Live Time:,60,,,,,,,26,,297,,,
Start Time:,December 06,2022, 03:21:21,,,,,27,,350,,,
End Time:,December 06,2022, 03:22:22,,,,,28,,331,,,
ROIs:,,,,,,,,29,,350,,,
ROI:,Low,High,Gross,Net,FWHM,Centroid,,30,,323,,,
,,,,,,,,31,,362,,,
1,201,222,6773,3505,13,211,,32,,345,,,
,,,,,,,,33,,357,,,
Channel Data:,,,,,,,,34,,330,,,
,,,,,,,,35,,375,,,
,,,,,,,,36,,424,,,
,,,,,,,,37,,430,,,
,,,,,,,,38,,395,,,
,,,,,,,,39,,447,,,
,,,,,,,,40,,468,,,
,,,,,,,,41,,439,,,
,,,,,,,,42,,437,,,
,,,,,,,,43,,409,,,
,,,,,,,,44,,397,,,
,,,,,,,,45,,362,,,
,,,,,,,,46,,379,,,
,,,,,,,,47,,401,,,
,,,,,,,,48,,358,,,
,,,,,,,,49,,385,,,
,,,,,,,,50,,358,,,
,,,,,,,,51,,340,,,
,,,,,,,,52,,371,,,
,,,,,,,,53,,361,,,
,,,,,,,,54,,333,,,
,,,,,,,,55,,341,,,
,,,,,,,,56,,329,,,
,,,,,,,,57,,332,,,
,,,,,,,,58,,287,,,
,,,,,,,,59,,315,,,
,,,,,,,,60,,331,,,
,,,,,,,,61,,289,,,
,,,,,,,,62,,306,,,
,,,,,,,,63,,256,,,
,,,,,,,,64,,277,,,
,,,,,,,,65,,256,,,
,,,,,,,,66,,249,,,
,,,,,,,,67,,264,,,
,,,,,,,,68,,250,,,
,,,,,,,,69,,240,,,
,,,,,,,,70,,261,,,
,,,,,,,,71,,224,,,
,,,,,,,,72,,272,,,
,,,,,,,,73,,257,,,
,,,,,,,,74,,226,,,
,,,,,,,,75,,240,,,
,,,,,,,,76,,231,,,
,,,,,,,,77,,235,,,
,,,,,,,,78,,220,,,
,,,,,,,,79,,222,,,
,,,,,,,,80,,225,,,
,,,,,,,,81,,220,,,
,,,,,,,,82,,237,,,
,,,,,,,,83,,209,,,
,,,,,,,,84,,218,,,
,,,,,,,,85,,234,,,
,,,,,,,,86,,219,,,
,,,,,,,,87,,223,,,
,,,,,,,,88,,216,,,
,,,,,,,,89,,229,,,
,,,,,,,,90,,211,,,
,,,,,,,,91,,237,,,
,,,,,,,,92,,221,,,
,,,,,,,,93,,190,,,
,,,,,,,,94,,246,,,
,,,,,,,,95,,217,,,
,,,,,,,,96,,245,,,
,,,,,,,,97,,239,,,
,,,,,,,,98,,193,,,
,,,,,,,,99,,208,,,
,,,,,,,,100,,198,,,
,,,,,,,,101,,217,,,
,,,,,,,,102,,199,,,
,,,,,,,,103,,203,,,
,,,,,,,,104,,224,,,
,,,,,,,,105,,206,,,
,,,,,,,,106,,211,,,
,,,,,,,,107,,230,,,
,,,,,,,,108,,221,,,
,,,,,,,,109,,192,,,
,,,,,,,,110,,218,,,
,,,,,,,,111,,183,,,
,,,,,,,,112,,194,,,
,,,,,,,,113,,213,,,
,,,,,,,,114,,210,,,
,,,,,,,,115,,196,,,
,,,,,,,,116,,184,,,
,,,,,,,,117,,174,,,
,,,,,,,,118,,181,,,
,,,,,,,,119,,186,,,
,,,,,,,,120,,190,,,
,,,,,,,,121,,195,,,
,,,,,,,,122,,195,,,
,,,,,,,,123,,228,,,
,,,,,,,,124,,224,,,
,,,,,,,,125,,186,,,
,,,,,,,,126,,217,,,
,,,,,,,,127,,195,,,
,,,,,,,,128,,203,,,
,,,,,,,,129,,210,,,
,,,,,,,,130,,212,,,
,,,,,,,,131,,227,,,
,,,,,,,,132,,204,,,
,,,,,,,,133,,197,,,
,,,,,,,,134,,194,,,
,,,,,,,,135,,216,,,
,,,,,,,,136,,207,,,
,,,,,,,,137,,202,,,
,,,,,,,,138,,210,,,
,,,,,,,,139,,224,,,
,,,,,,,,140,,205,,,
,,,,,,,,141,,218,,,
,,,,,,,,142,,217,,,
,,,,,,,,143,,197,,,
,,,,,,,,144,,227,,,
,,,,,,,,145,,211,,,
,,,,,,,,146,,244,,,
,,,,,,,,147,,218,,,
,,,,,,,,148,,243,,,
,,,,,,,,149,,198,,,
,,,,,,,,150,,226,,,
,,,,,,,,151,,253,,,
,,,,,,,,152,,216,,,
,,,,,,,,153,,240,,,
,,,,,,,,154,,223,,,
,,,,,,,,155,,235,,,
,,,,,,,,156,,248,,,
,,,,,,,,157,,264,,,
,,,,,,,,158,,243,,,
,,,,,,,,159,,243,,,
,,,,,,,,160,,249,,,
,,,,,,,,161,,237,,,
,,,,,,,,162,,244,,,
,,,,,,,,163,,258,,,
,,,,,,,,164,,242,,,
,,,,,,,,165,,255,,,
,,,,,,,,166,,251,,,
,,,,,,,,167,,258,,,
,,,,,,,,168,,256,,,
,,,,,,,,169,,240,,,
,,,,,,,,170,,261,,,
,,,,,,,,171,,243,,,
,,,,,,,,172,,236,,,
,,,,,,,,173,,212,,,
,,,,,,,,174,,230,,,
,,,,,,,,175,,202,,,
,,,,,,,,176,,255,,,
,,,,,,,,177,,202,,,
,,,,,,,,178,,189,,,
,,,,,,,,179,,200,,,
,,,,,,,,180,,148,,,
,,,,,,,,181,,175,,,
,,,,,,,,182,,165,,,
,,,,,,,,183,,157,,,
,,,,,,,,184,,157,,,
,,,,,,,,185,,149,,,
,,,,,,,,186,,166,,,
,,,,,,,,187,,156,,,
,,,,,,,,188,,164,,,
,,,,,,,,189,,157,,,
,,,,,,,,190,,149,,,
,,,,,,,,191,,159,,,
,,,,,,,,192,,160,,,
,,,,,,,,193,,170,,,
,,,,,,,,194,,138,,,
,,,,,,,,195,,150,,,
,,,,,,,,196,,135,,,
,,,,,,,,197,,128,,,
,,,,,,,,198,,152,,,
,,,,,,,,199,,129,,,
,,,,,,,,200,,136,,,
,,,,,,,,201,,148,,,
,,,,,,,,202,,168,,,
,,,,,,,,203,,189,,,
,,,,,,,,204,,202,,,
,,,,,,,,205,,243,,,
,,,,,,,,206,,261,,,
,,,,,,,,207,,322,,,
,,,,,,,,208,,381,,,
,,,,,,,,209,,352,,,
,,,,,,,,210,,405,,,
,,,,,,,,211,,418,,,
,,,,,,,,212,,472,,,
,,,,,,,,213,,451,,,
,,,,,,,,214,,415,,,
,,,,,,,,215,,385,,,
,,,,,,,,216,,426,,,
,,,,,,,,217,,359,,,
,,,,,,,,218,,311,,,
,,,,,,,,219,,278,,,
,,,,,,,,220,,249,,,
,,,,,,,,221,,182,,,
,,,,,,,,222,,156,,,
,,,,,,,,223,,106,,,
,,,,,,,,224,,90,,,
,,,,,,,,225,,70,,,
,,,,,,,,226,,65,,,
,,,,,,,,227,,59,,,
,,,,,,,,228,,53,,,
,,,,,,,,229,,64,,,
,,,,,,,,230,,79,,,
,,,,,,,,231,,85,,,
,,,,,,,,232,,116,,,
,,,,,,,,233,,145,,,
,,,,,,,,234,,185,,,
,,,,,,,,235,,219,,,
,,,,,,,,236,,218,,,
,,,,,,,,237,,260,,,
,,,,,,,,238,,291,,,
,,,,,,,,239,,297,,,
,,,,,,,,240,,302,,,
,,,,,,,,241,,356,,,
,,,,,,,,242,,338,,,
,,,,,,,,243,,355,,,
,,,,,,,,244,,302,,,
,,,,,,,,245,,278,,,
,,,,,,,,246,,264,,,
,,,,,,,,247,,249,,,
,,,,,,,,248,,185,,,
,,,,,,,,249,,153,,,
,,,,,,,,250,,129,,,
,,,,,,,,251,,145,,,
,,,,,,,,252,,88,,,
,,,,,,,,253,,89,,,
