Latitude,Longitude,Elevation
29.19989000,-81.0091200,3.0
29.19987000,-81.0091000,3.0
29.19986000,-81.0091000,3.0
29.19982000,-81.0090500,3.0
29.19979000,-81.0090100,2.0
29.19974000,-81.0089800,2.0
29.19971000,-81.0089500,2.0
29.19958000,-81.0089200,2.0
29.19950000,-81.0089200,2.0
29.19949000,-81.0089200,2.0
29.19942000,-81.0089300,3.0
29.19928000,-81.0089500,3.0
29.19924000,-81.0089600,3.0
29.19914000,-81.0089500,2.0
29.19912000,-81.0089600,2.0
29.19909000,-81.0089600,2.0
29.19899000,-81.0089500,2.0
29.19888000,-81.0089800,2.0
29.19874000,-81.0090000,2.0
29.19871000,-81.0089900,2.0
29.19858000,-81.0090000,2.0
29.19858000,-81.0089900,2.0
29.19857000,-81.0090000,2.0
29.19852000,-81.0090400,2.0
29.19851000,-81.0090600,1.0
29.19847000,-81.0091200,1.0
29.19846000,-81.0091500,1.0
29.19838000,-81.0093200,1.0
29.19833000,-81.0094600,2.0
29.19828000,-81.0096200,3.0
29.19826000,-81.0096800,3.0
29.19820000,-81.0097900,4.0
29.19815000,-81.0098900,4.0
29.19815000,-81.0099000,4.0
29.19815000,-81.0099300,4.0
29.19813000,-81.0100000,5.0
29.19812000,-81.0100100,5.0
29.19809000,-81.0101500,5.0
29.19804000,-81.0102800,4.0
29.19802000,-81.0103800,4.0
29.19800000,-81.0104700,4.0
29.19796000,-81.0105900,4.0
29.19792000,-81.0107000,4.0
29.19790000,-81.0107300,4.0
29.19785000,-81.0108700,3.0
29.19779000,-81.0110100,3.0
29.19773000,-81.0111400,2.0
29.19766000,-81.0113200,2.0
29.19761000,-81.0114700,2.0
29.19756000,-81.0116600,2.0
29.19756000,-81.0116800,2.0
29.19756000,-81.0117500,2.0
29.19756000,-81.0117700,2.0
29.19763000,-81.0118100,3.0
29.19765000,-81.0118100,3.0
29.19772000,-81.0118400,3.0
29.19781000,-81.0118800,4.0
29.19785000,-81.0119100,4.0
29.19802000,-81.0119900,5.0
29.19809000,-81.0120200,5.0
29.19816000,-81.0120700,5.0
29.19826000,-81.0121600,5.0
29.19834000,-81.0122700,4.0
29.19846000,-81.0123300,4.0
29.19859000,-81.0123400,3.0
29.19874000,-81.0123400,3.0
29.19875000,-81.0123400,3.0
29.19879000,-81.0123100,3.0
29.19882000,-81.0122900,3.0
29.19883000,-81.0122600,3.0
29.19886000,-81.0121500,3.0
29.19888000,-81.0121000,3.0
29.19889000,-81.0120900,3.0
29.19892000,-81.0120200,3.0
29.19895000,-81.0119200,3.0
29.19898000,-81.0118700,3.0
29.19902000,-81.0117300,3.0
29.19907000,-81.0116100,3.0
29.19915000,-81.0114600,3.0
29.19919000,-81.0113700,3.0
29.19919000,-81.0113400,3.0
29.19920000,-81.0113200,3.0
29.19921000,-81.0113000,3.0
29.19925000,-81.0112400,3.0
29.19928000,-81.0111600,3.0
29.19931000,-81.0110800,3.0
29.19933000,-81.0110400,3.0
29.19936000,-81.0109700,3.0
29.19937000,-81.0109400,3.0
29.19937000,-81.0109000,3.0
29.19940000,-81.0108500,3.0
29.19946000,-81.0107100,3.0
29.19949000,-81.0106400,3.0
29.19953000,-81.0105900,3.0
29.19953000,-81.0105700,2.0
29.19956000,-81.0104900,3.0
29.19960000,-81.0103800,3.0
29.19964000,-81.0102800,3.0
29.19965000,-81.0102600,3.0
29.19966000,-81.0101500,3.0
29.19967000,-81.0099900,3.0
29.19967000,-81.0099100,3.0
29.19966000,-81.0098500,3.0
29.19969000,-81.0097400,3.0
29.19971000,-81.0096300,4.0
29.19971000,-81.0096200,4.0
29.19973000,-81.0095500,4.0
29.19976000,-81.0094900,4.0
29.19976000,-81.0094500,4.0
29.19980000,-81.0093600,3.0
29.19980000,-81.0093300,3.0
29.19985000,-81.0092000,3.0
29.19989000,-81.0091200,3.0
