Latitude,Longitude,Elevation
29.07546000,-81.2493700,23.0
29.07544000,-81.2494500,23.0
29.07579000,-81.2495500,22.0
29.07666000,-81.2498300,22.0
29.07717000,-81.2499800,20.0
29.07736000,-81.2500200,22.0
29.07749000,-81.2500100,23.0
29.07781000,-81.2499500,27.0
29.07893000,-81.2497200,27.0
29.07907000,-81.2497200,26.0
29.07924000,-81.2497400,25.0
29.07936000,-81.2497900,25.0
29.07952000,-81.2498600,26.0
29.07965000,-81.2499700,28.0
29.07988000,-81.2501500,29.0
29.07998000,-81.2501900,29.0
29.08017000,-81.2502500,29.0
29.08041000,-81.2503300,31.0
29.08063000,-81.2504300,30.0
29.08088000,-81.2506200,27.0
29.08105000,-81.2507700,26.0
29.08117000,-81.2509500,25.0
29.08127000,-81.2511200,25.0
29.08183000,-81.2534500,24.0
29.08203000,-81.2540400,26.0
29.08212000,-81.2541800,26.0
29.08223000,-81.2542900,25.0
29.08234000,-81.2543500,25.0
29.08246000,-81.2543800,24.0
29.08262000,-81.2543900,24.0
29.08287000,-81.2544000,25.0
29.08302000,-81.2546600,24.0
29.08305000,-81.2548600,23.0
29.08303000,-81.2550500,22.0
29.08295000,-81.2553300,23.0
29.08278000,-81.2562200,25.0
29.08261000,-81.2570600,23.0
29.08254000,-81.2574100,20.0
29.08247000,-81.2574900,20.0
29.08240000,-81.2576100,20.0
29.08242000,-81.2577000,20.0
29.08250000,-81.2577900,20.0
29.08273000,-81.2579700,21.0
29.08290000,-81.2581400,23.0
29.08306000,-81.2583200,25.0
29.08315000,-81.2584900,25.0
29.08317000,-81.2585900,25.0
29.08326000,-81.2587300,24.0
29.08338000,-81.2588000,23.0
29.08395000,-81.2589600,21.0
29.08406000,-81.2590100,21.0
29.08425000,-81.2591100,22.0
29.08447000,-81.2591500,21.0
29.08454000,-81.2589100,18.0
29.08464000,-81.2586700,17.0
29.08475000,-81.2584800,17.0
29.08501000,-81.2579600,20.0
29.08505000,-81.2578800,20.0
29.08529000,-81.2575800,19.0
29.08578000,-81.2570700,23.0
29.08561000,-81.2568800,25.0
29.08539000,-81.2566000,27.0
29.08460000,-81.2550900,27.0
29.08446000,-81.2548200,27.0
29.08432000,-81.2546000,28.0
29.08420000,-81.2544900,27.0
29.08408000,-81.2544300,27.0
29.08395000,-81.2544100,27.0
29.08287000,-81.2544000,25.0
29.08262000,-81.2543900,24.0
29.08246000,-81.2543800,24.0
29.08234000,-81.2543500,25.0
29.08223000,-81.2542900,25.0
29.08212000,-81.2541800,26.0
29.08203000,-81.2540400,26.0
29.08183000,-81.2534500,24.0
29.08128000,-81.2511800,25.0
29.08127000,-81.2511200,25.0
29.08117000,-81.2509500,25.0
29.08105000,-81.2507700,26.0
29.08088000,-81.2506200,27.0
29.08063000,-81.2504300,30.0
29.08041000,-81.2503300,31.0
29.08017000,-81.2502500,29.0
29.07998000,-81.2501900,29.0
29.07988000,-81.2501500,29.0
29.07965000,-81.2499700,28.0
29.07952000,-81.2498600,26.0
29.07936000,-81.2497900,25.0
29.07924000,-81.2497400,25.0
29.07907000,-81.2497200,26.0
29.07893000,-81.2497200,27.0
29.07781000,-81.2499500,27.0
29.07749000,-81.2500100,23.0
29.07736000,-81.2500200,22.0
29.07717000,-81.2499800,20.0
29.07666000,-81.2498300,22.0
29.07579000,-81.2495500,22.0
29.07544000,-81.2494500,23.0
29.07546000,-81.2493700,23.0
