Latitude,Longitude,Elevation
29.22733000,-81.0078800,9.0
29.22736000,-81.0077900,9.0
29.22698000,-81.0076200,7.0
29.22721000,-81.0070200,7.0
29.22784000,-81.0072600,6.0
29.22833000,-81.0074900,4.0
29.22882000,-81.0077200,5.0
29.22972000,-81.0081900,4.0
29.23018000,-81.0084200,4.0
29.23063000,-81.0086500,1.0
29.23109000,-81.0088800,1.0
29.23155000,-81.0091500,1.0
29.23202000,-81.0094100,1.0
29.23248000,-81.0096800,1.0
29.23291000,-81.0099000,1.0
29.23296000,-81.0099600,1.0
29.23299000,-81.0100100,1.0
29.23299000,-81.0100700,4.0
29.23299000,-81.0101400,7.0
29.23299000,-81.0101900,9.0
29.23298000,-81.0102600,12.0
29.23297000,-81.0103100,13.0
29.23295000,-81.0103500,14.0
29.23297000,-81.0103100,13.0
29.23298000,-81.0102600,12.0
29.23299000,-81.0101900,9.0
29.23299000,-81.0101400,7.0
29.23299000,-81.0100700,4.0
29.23299000,-81.0100100,1.0
29.23296000,-81.0099600,1.0
29.23291000,-81.0099000,1.0
29.23248000,-81.0096800,1.0
29.23202000,-81.0094100,1.0
29.23155000,-81.0091500,1.0
29.23109000,-81.0088800,1.0
29.23063000,-81.0086500,1.0
29.23018000,-81.0084200,4.0
29.22972000,-81.0081900,4.0
29.22882000,-81.0077200,5.0
29.22833000,-81.0074900,4.0
29.22784000,-81.0072600,6.0
29.22721000,-81.0070200,7.0
29.22698000,-81.0076200,7.0
29.22736000,-81.0077900,9.0
29.22733000,-81.0078800,9.0
