Latitude,Longitude,Elevation
29.01480000,-81.3006900,17.0
29.01477000,-81.3006800,17.0
29.01480000,-81.3006900,17.0
29.01482000,-81.3006900,17.0
29.01484000,-81.3007000,18.0
29.01544000,-81.3007200,19.0
29.01548000,-81.3007200,19.0
29.01553000,-81.3007100,19.0
29.01559000,-81.3006900,18.0
29.01562000,-81.3006700,18.0
29.01564000,-81.3006700,18.0
29.01577000,-81.3006200,17.0
29.01583000,-81.3006100,16.0
29.01590000,-81.3006100,17.0
29.01591000,-81.3006100,17.0
29.01606000,-81.3006200,18.0
29.01616000,-81.3006400,19.0
29.01622000,-81.3006600,20.0
29.01633000,-81.3006700,21.0
29.01639000,-81.3006900,21.0
29.01646000,-81.3007100,20.0
29.01650000,-81.3007400,20.0
29.01655000,-81.3007600,19.0
29.01659000,-81.3007600,19.0
29.01667000,-81.3007300,19.0
29.01676000,-81.3007100,17.0
29.01680000,-81.3007000,17.0
29.01683000,-81.3006900,16.0
29.01687000,-81.3006700,16.0
29.01696000,-81.3006300,15.0
29.01700000,-81.3006200,15.0
29.01704000,-81.3006200,15.0
29.01707000,-81.3006300,15.0
29.01715000,-81.3006700,15.0
29.01718000,-81.3006900,15.0
29.01727000,-81.3007600,16.0
29.01729000,-81.3007700,16.0
29.01733000,-81.3007900,17.0
29.01739000,-81.3008100,17.0
29.01745000,-81.3008200,18.0
29.01801000,-81.3008400,19.0
29.01859000,-81.3008600,17.0
29.01878000,-81.3008600,16.0
29.01881000,-81.3008600,16.0
29.01884000,-81.3008600,16.0
29.01907000,-81.3008700,15.0
29.01908000,-81.3008700,16.0
29.01910000,-81.3008700,16.0
29.01913000,-81.3008700,16.0
29.01917000,-81.3008700,16.0
29.01919000,-81.3008800,16.0
29.01943000,-81.3008800,17.0
29.01947000,-81.3008800,17.0
29.01952000,-81.3008800,17.0
29.02051000,-81.3009100,17.0
29.02077000,-81.3009200,19.0
29.02082000,-81.3009300,20.0
29.02086000,-81.3009400,20.0
29.02089000,-81.3009500,20.0
29.02095000,-81.3009700,21.0
29.02097000,-81.3009700,21.0
29.02145000,-81.3010800,25.0
29.02154000,-81.3010900,26.0
29.02161000,-81.3011000,26.0
29.02175000,-81.3011100,26.0
29.02192000,-81.3011200,25.0
29.02254000,-81.3011300,25.0
29.02261000,-81.3011300,26.0
29.02270000,-81.3011300,27.0
29.02329000,-81.3011500,25.0
29.02370000,-81.3011600,24.0
29.02441000,-81.3011700,23.0
29.02445000,-81.3011700,23.0
29.02451000,-81.3011700,23.0
29.02459000,-81.3011700,22.0
29.02459000,-81.3012500,21.0
29.02459000,-81.3012900,21.0
29.02461000,-81.3013000,21.0
29.02555000,-81.3013200,20.0
29.02561000,-81.3013200,21.0
29.02611000,-81.3013400,22.0
29.02617000,-81.3013400,21.0
29.02620000,-81.3013600,21.0
29.02630000,-81.3013400,20.0
29.02710000,-81.3013700,20.0
29.02737000,-81.3013800,20.0
29.02787000,-81.3013900,20.0
29.02796000,-81.3014000,20.0
29.02809000,-81.3014200,21.0
29.02818000,-81.3014400,22.0
29.02823000,-81.3014600,22.0
29.02827000,-81.3014700,23.0
29.02832000,-81.3014700,23.0
29.02840000,-81.3014500,22.0
29.02856000,-81.3014000,19.0
29.02892000,-81.3014000,14.0
29.02899000,-81.3014000,15.0
29.02908000,-81.3014100,16.0
29.02966000,-81.3014100,15.0
29.02991000,-81.3014300,16.0
29.02999000,-81.3014400,17.0
29.03047000,-81.3014500,16.0
29.03067000,-81.3014700,15.0
29.03070000,-81.3014700,15.0
29.03075000,-81.3014600,15.0
29.03082000,-81.3014400,15.0
29.03086000,-81.3014300,14.0
29.03111000,-81.3013100,12.0
29.03113000,-81.3013000,12.0
29.03121000,-81.3012400,11.0
29.03131000,-81.3011700,10.0
29.03137000,-81.3011400,9.0
29.03145000,-81.3011200,9.0
29.03157000,-81.3011100,10.0
29.03159000,-81.3011100,11.0
29.03174000,-81.3011000,13.0
29.03175000,-81.3011000,13.0
29.03183000,-81.3010900,15.0
29.03190000,-81.3010900,16.0
29.03196000,-81.3010800,17.0
29.03201000,-81.3010900,18.0
29.03206000,-81.3011500,18.0
29.03211000,-81.3012300,18.0
29.03230000,-81.3017900,15.0
29.03234000,-81.3018600,15.0
29.03239000,-81.3019000,16.0
29.03241000,-81.3019100,16.0
29.03247000,-81.3019300,17.0
29.03250000,-81.3019100,18.0
29.03253000,-81.3018900,18.0
29.03255000,-81.3018500,18.0
29.03256000,-81.3016300,19.0
29.03258000,-81.3014600,20.0
29.03256000,-81.3013600,20.0
29.03256000,-81.3011700,21.0
29.03258000,-81.3010500,22.0
29.03258000,-81.3009500,22.0
29.03257000,-81.3007600,22.0
29.03259000,-81.3004600,24.0
29.03257000,-81.3002400,27.0
29.03261000,-81.3000300,27.0
29.03260000,-81.2997500,26.0
29.03258000,-81.2996600,26.0
29.03258000,-81.2995700,25.0
29.03261000,-81.2995400,25.0
29.03266000,-81.2995300,24.0
29.03275000,-81.2995100,23.0
29.03325000,-81.2995200,25.0
29.03341000,-81.2995300,25.0
29.03347000,-81.2995400,26.0
29.03355000,-81.2995300,26.0
29.03363000,-81.2995400,27.0
29.03400000,-81.2995400,31.0
29.03410000,-81.2995400,30.0
29.03416000,-81.2995300,30.0
29.03426000,-81.2995400,28.0
29.03431000,-81.2995600,27.0
29.03442000,-81.2995600,24.0
29.03449000,-81.2995600,24.0
29.03456000,-81.2995600,24.0
29.03463000,-81.2995600,24.0
29.03466000,-81.2995800,24.0
29.03468000,-81.2995800,24.0
29.03470000,-81.2995800,24.0
29.03475000,-81.2995700,24.0
29.03477000,-81.2995700,24.0
29.03480000,-81.2995700,24.0
29.03485000,-81.2995800,24.0
29.03491000,-81.2995900,24.0
29.03495000,-81.2996000,24.0
29.03521000,-81.2996000,21.0
29.03526000,-81.2996000,20.0
29.03526000,-81.2995700,20.0
29.03526000,-81.2995100,20.0
29.03526000,-81.2994200,19.0
29.03526000,-81.2993500,19.0
29.03532000,-81.2992700,18.0
29.03535000,-81.2992100,17.0
29.03538000,-81.2991200,16.0
29.03539000,-81.2989200,13.0
29.03541000,-81.2974100,20.0
29.03541000,-81.2964700,22.0
29.03539000,-81.2962900,22.0
29.03542000,-81.2961500,24.0
29.03543000,-81.2960000,27.0
29.03543000,-81.2956100,35.0
29.03543000,-81.2960000,27.0
29.03542000,-81.2961500,24.0
29.03539000,-81.2962900,22.0
29.03541000,-81.2964700,22.0
29.03541000,-81.2974100,20.0
29.03539000,-81.2989200,13.0
29.03538000,-81.2991200,16.0
29.03535000,-81.2992100,17.0
29.03532000,-81.2992700,18.0
29.03526000,-81.2993500,19.0
29.03526000,-81.2994200,19.0
29.03526000,-81.2995100,20.0
29.03526000,-81.2995700,20.0
29.03526000,-81.2996000,20.0
29.03521000,-81.2996000,21.0
29.03495000,-81.2996000,24.0
29.03491000,-81.2995900,24.0
29.03485000,-81.2995800,24.0
29.03480000,-81.2995700,24.0
29.03477000,-81.2995700,24.0
29.03475000,-81.2995700,24.0
29.03470000,-81.2995800,24.0
29.03468000,-81.2995800,24.0
29.03466000,-81.2995800,24.0
29.03463000,-81.2995600,24.0
29.03456000,-81.2995600,24.0
29.03449000,-81.2995600,24.0
29.03442000,-81.2995600,24.0
29.03431000,-81.2995600,27.0
29.03426000,-81.2995400,28.0
29.03416000,-81.2995300,30.0
29.03410000,-81.2995400,30.0
29.03400000,-81.2995400,31.0
29.03363000,-81.2995400,27.0
29.03355000,-81.2995300,26.0
29.03347000,-81.2995400,26.0
29.03341000,-81.2995300,25.0
29.03325000,-81.2995200,25.0
29.03275000,-81.2995100,23.0
29.03266000,-81.2995300,24.0
29.03261000,-81.2995400,25.0
29.03258000,-81.2995700,25.0
29.03258000,-81.2996600,26.0
29.03260000,-81.2997500,26.0
29.03261000,-81.3000300,27.0
29.03257000,-81.3002400,27.0
29.03259000,-81.3004600,24.0
29.03257000,-81.3007600,22.0
29.03258000,-81.3009500,22.0
29.03258000,-81.3010500,22.0
29.03256000,-81.3011700,21.0
29.03256000,-81.3013600,20.0
29.03258000,-81.3014600,20.0
29.03256000,-81.3016300,19.0
29.03255000,-81.3018500,18.0
29.03253000,-81.3018900,18.0
29.03250000,-81.3019100,18.0
29.03247000,-81.3019300,17.0
29.03241000,-81.3019100,16.0
29.03239000,-81.3019000,16.0
29.03234000,-81.3018600,15.0
29.03230000,-81.3017900,15.0
29.03211000,-81.3012300,18.0
29.03206000,-81.3011500,18.0
29.03201000,-81.3010900,18.0
29.03196000,-81.3010800,17.0
29.03190000,-81.3010900,16.0
29.03183000,-81.3010900,15.0
29.03175000,-81.3011000,13.0
29.03174000,-81.3011000,13.0
29.03159000,-81.3011100,11.0
29.03157000,-81.3011100,10.0
29.03145000,-81.3011200,9.0
29.03137000,-81.3011400,9.0
29.03131000,-81.3011700,10.0
29.03121000,-81.3012400,11.0
29.03113000,-81.3013000,12.0
29.03111000,-81.3013100,12.0
29.03086000,-81.3014300,14.0
29.03082000,-81.3014400,15.0
29.03075000,-81.3014600,15.0
29.03070000,-81.3014700,15.0
29.03067000,-81.3014700,15.0
29.03047000,-81.3014500,16.0
29.02999000,-81.3014400,17.0
29.02991000,-81.3014300,16.0
29.02966000,-81.3014100,15.0
29.02908000,-81.3014100,16.0
29.02899000,-81.3014000,15.0
29.02892000,-81.3014000,14.0
29.02856000,-81.3014000,19.0
29.02840000,-81.3014500,22.0
29.02832000,-81.3014700,23.0
29.02827000,-81.3014700,23.0
29.02823000,-81.3014600,22.0
29.02818000,-81.3014400,22.0
29.02809000,-81.3014200,21.0
29.02796000,-81.3014000,20.0
29.02787000,-81.3013900,20.0
29.02737000,-81.3013800,20.0
29.02710000,-81.3013700,20.0
29.02630000,-81.3013400,20.0
29.02620000,-81.3013600,21.0
29.02617000,-81.3013400,21.0
29.02611000,-81.3013400,22.0
29.02561000,-81.3013200,21.0
29.02555000,-81.3013200,20.0
29.02461000,-81.3013000,21.0
29.02459000,-81.3012900,21.0
29.02459000,-81.3012500,21.0
29.02459000,-81.3011700,22.0
29.02451000,-81.3011700,23.0
29.02445000,-81.3011700,23.0
29.02441000,-81.3011700,23.0
29.02370000,-81.3011600,24.0
29.02329000,-81.3011500,25.0
29.02270000,-81.3011300,27.0
29.02261000,-81.3011300,26.0
29.02254000,-81.3011300,25.0
29.02192000,-81.3011200,25.0
29.02175000,-81.3011100,26.0
29.02161000,-81.3011000,26.0
29.02154000,-81.3010900,26.0
29.02145000,-81.3010800,25.0
29.02097000,-81.3009700,21.0
29.02095000,-81.3009700,21.0
29.02089000,-81.3009500,20.0
29.02086000,-81.3009400,20.0
29.02082000,-81.3009300,20.0
29.02077000,-81.3009200,19.0
29.02051000,-81.3009100,17.0
29.01952000,-81.3008800,17.0
29.01947000,-81.3008800,17.0
29.01943000,-81.3008800,17.0
29.01919000,-81.3008800,16.0
29.01917000,-81.3008700,16.0
29.01913000,-81.3008700,16.0
29.01910000,-81.3008700,16.0
29.01908000,-81.3008700,16.0
29.01907000,-81.3008700,15.0
29.01884000,-81.3008600,16.0
29.01881000,-81.3008600,16.0
29.01878000,-81.3008600,16.0
29.01859000,-81.3008600,17.0
29.01801000,-81.3008400,19.0
29.01745000,-81.3008200,18.0
29.01739000,-81.3008100,17.0
29.01733000,-81.3007900,17.0
29.01729000,-81.3007700,16.0
29.01727000,-81.3007600,16.0
29.01718000,-81.3006900,15.0
29.01715000,-81.3006700,15.0
29.01707000,-81.3006300,15.0
29.01704000,-81.3006200,15.0
29.01700000,-81.3006200,15.0
29.01696000,-81.3006300,15.0
29.01687000,-81.3006700,16.0
29.01683000,-81.3006900,16.0
29.01680000,-81.3007000,17.0
29.01676000,-81.3007100,17.0
29.01667000,-81.3007300,19.0
29.01659000,-81.3007600,19.0
29.01655000,-81.3007600,19.0
29.01650000,-81.3007400,20.0
29.01646000,-81.3007100,20.0
29.01639000,-81.3006900,21.0
29.01633000,-81.3006700,21.0
29.01622000,-81.3006600,20.0
29.01616000,-81.3006400,19.0
29.01606000,-81.3006200,18.0
29.01591000,-81.3006100,17.0
29.01590000,-81.3006100,17.0
29.01583000,-81.3006100,16.0
29.01577000,-81.3006200,17.0
29.01564000,-81.3006700,18.0
29.01562000,-81.3006700,18.0
29.01559000,-81.3006900,18.0
29.01553000,-81.3007100,19.0
29.01548000,-81.3007200,19.0
29.01544000,-81.3007200,19.0
29.01484000,-81.3007000,18.0
29.01482000,-81.3006900,17.0
29.01480000,-81.3006900,17.0
29.01477000,-81.3006800,17.0
29.01480000,-81.3006900,17.0
