Latitude,Longitude,Elevation
28.97425000,-81.3580400,11.0
28.97424000,-81.3580600,12.0
28.97420000,-81.3588600,16.0
28.97409000,-81.3591700,18.0
28.97381000,-81.3590900,17.0
28.97353000,-81.3590800,15.0
28.97335000,-81.3591200,14.0
28.97308000,-81.3590800,12.0
28.97315000,-81.3600100,11.0
28.97336000,-81.3605000,11.0
28.97303000,-81.3613100,10.0
28.97244000,-81.3616600,15.0
28.97161000,-81.3614600,14.0
28.97077000,-81.3618100,14.0
28.96963000,-81.3618300,15.0
28.96866000,-81.3620900,13.0
28.96821000,-81.3626400,13.0
28.96721000,-81.3629800,17.0
28.96670000,-81.3630000,19.0
28.96620000,-81.3631100,14.0
28.96610000,-81.3635100,15.0
28.96617000,-81.3640300,15.0
28.96566000,-81.3642100,19.0
28.96549000,-81.3642000,20.0
28.96518000,-81.3636200,19.0
28.96502000,-81.3635600,18.0
28.96457000,-81.3637800,17.0
28.96448000,-81.3641100,19.0
28.96452000,-81.3643900,20.0
28.96451000,-81.3646700,20.0
28.96439000,-81.3649400,20.0
28.96385000,-81.3653100,21.0
28.96358000,-81.3652900,21.0
28.96337000,-81.3653400,20.0
28.96322000,-81.3655100,20.0
28.96271000,-81.3656900,20.0
28.96220000,-81.3657400,18.0
28.96205000,-81.3657100,17.0
28.96198000,-81.3656000,17.0
28.96174000,-81.3655000,15.0
28.96152000,-81.3652700,11.0
28.96126000,-81.3653000,14.0
28.96082000,-81.3651300,14.0
28.96048000,-81.3649900,12.0
28.96021000,-81.3646600,13.0
28.96014000,-81.3642800,14.0
28.95999000,-81.3638300,15.0
28.95969000,-81.3637500,14.0
28.95947000,-81.3639700,15.0
28.95905000,-81.3641400,15.0
28.95883000,-81.3641100,15.0
28.95842000,-81.3636800,12.0
28.95883000,-81.3641100,15.0
28.95905000,-81.3641400,15.0
28.95947000,-81.3639700,15.0
28.95969000,-81.3637500,14.0
28.95999000,-81.3638300,15.0
28.96014000,-81.3642800,14.0
28.96021000,-81.3646600,13.0
28.96048000,-81.3649900,12.0
28.96082000,-81.3651300,14.0
28.96126000,-81.3653000,14.0
28.96152000,-81.3652700,11.0
28.96174000,-81.3655000,15.0
28.96198000,-81.3656000,17.0
28.96205000,-81.3657100,17.0
28.96220000,-81.3657400,18.0
28.96271000,-81.3656900,20.0
28.96322000,-81.3655100,20.0
28.96337000,-81.3653400,20.0
28.96358000,-81.3652900,21.0
28.96385000,-81.3653100,21.0
28.96439000,-81.3649400,20.0
28.96451000,-81.3646700,20.0
28.96452000,-81.3643900,20.0
28.96448000,-81.3641100,19.0
28.96457000,-81.3637800,17.0
28.96502000,-81.3635600,18.0
28.96518000,-81.3636200,19.0
28.96549000,-81.3642000,20.0
28.96566000,-81.3642100,19.0
28.96617000,-81.3640300,15.0
28.96610000,-81.3635100,15.0
28.96620000,-81.3631100,14.0
28.96670000,-81.3630000,19.0
28.96721000,-81.3629800,17.0
28.96821000,-81.3626400,13.0
28.96866000,-81.3620900,13.0
28.96963000,-81.3618300,15.0
28.97077000,-81.3618100,14.0
28.97161000,-81.3614600,14.0
28.97244000,-81.3616600,15.0
28.97303000,-81.3613100,10.0
28.97336000,-81.3605000,11.0
28.97315000,-81.3600100,11.0
28.97308000,-81.3590800,12.0
28.97335000,-81.3591200,14.0
28.97353000,-81.3590800,15.0
28.97381000,-81.3590900,17.0
28.97409000,-81.3591700,18.0
28.97420000,-81.3588600,16.0
28.97424000,-81.3580600,12.0
28.97425000,-81.3580400,11.0
