Latitude,Longitude,Elevation
28.99119000,-81.3380000,10.0
28.99117000,-81.3379600,10.0
28.99115000,-81.3379200,10.0
28.99101000,-81.3379800,9.0
28.99093000,-81.3379900,8.0
28.99088000,-81.3379800,8.0
28.99079000,-81.3379600,8.0
28.99076000,-81.3380400,8.0
28.99072000,-81.3381900,7.0
28.99070000,-81.3383300,7.0
28.99033000,-81.3380700,11.0
28.98996000,-81.3378100,17.0
28.98868000,-81.3369900,13.0
28.98802000,-81.3366300,12.0
28.98780000,-81.3363800,21.0
28.98786000,-81.3362300,18.0
28.98790000,-81.3362100,17.0
28.98801000,-81.3361400,15.0
28.98845000,-81.3361800,12.0
28.98914000,-81.3362300,13.0
28.98940000,-81.3360400,12.0
28.98989000,-81.3359500,16.0
28.99002000,-81.3359700,16.0
28.99018000,-81.3360000,17.0
28.99046000,-81.3360400,18.0
28.99080000,-81.3360100,18.0
28.99091000,-81.3361000,18.0
28.99104000,-81.3361000,17.0
28.99113000,-81.3361000,17.0
28.99120000,-81.3360900,17.0
28.99136000,-81.3360700,17.0
28.99158000,-81.3359800,18.0
28.99171000,-81.3359800,19.0
28.99189000,-81.3360500,19.0
28.99208000,-81.3360800,18.0
28.99222000,-81.3360600,18.0
28.99246000,-81.3359700,20.0
28.99267000,-81.3359900,20.0
28.99283000,-81.3360600,21.0
28.99305000,-81.3360800,20.0
28.99324000,-81.3360600,21.0
28.99341000,-81.3360400,21.0
28.99354000,-81.3360300,21.0
28.99369000,-81.3361100,22.0
28.99382000,-81.3362300,24.0
28.99389000,-81.3362600,25.0
28.99404000,-81.3362600,26.0
28.99418000,-81.3362400,27.0
28.99428000,-81.3362600,27.0
28.99442000,-81.3363400,28.0
28.99460000,-81.3364400,27.0
28.99483000,-81.3364900,28.0
28.99510000,-81.3365400,27.0
28.99527000,-81.3365600,27.0
28.99542000,-81.3365300,26.0
28.99560000,-81.3364300,25.0
28.99575000,-81.3364000,25.0
28.99610000,-81.3363900,27.0
28.99636000,-81.3363800,29.0
28.99651000,-81.3364000,30.0
28.99664000,-81.3364300,30.0
28.99673000,-81.3363900,29.0
28.99683000,-81.3362700,28.0
28.99694000,-81.3361700,28.0
28.99707000,-81.3361400,28.0
28.99720000,-81.3361400,28.0
28.99725000,-81.3361500,28.0
28.99738000,-81.3361800,28.0
28.99752000,-81.3362400,28.0
28.99768000,-81.3364100,29.0
28.99791000,-81.3365600,30.0
28.99807000,-81.3366100,31.0
28.99825000,-81.3366700,30.0
28.99835000,-81.3368500,29.0
28.99839000,-81.3369800,27.0
28.99839000,-81.3371200,26.0
28.99833000,-81.3373000,25.0
28.99828000,-81.3374800,24.0
28.99830000,-81.3377000,23.0
28.99836000,-81.3379100,23.0
28.99837000,-81.3381100,23.0
28.99831000,-81.3383700,23.0
28.99825000,-81.3386200,20.0
28.99826000,-81.3388500,17.0
28.99820000,-81.3390700,15.0
28.99812000,-81.3392700,14.0
28.99813000,-81.3395100,14.0
28.99818000,-81.3400100,15.0
28.99825000,-81.3405100,12.0
28.99824000,-81.3406900,12.0
28.99829000,-81.3408400,14.0
28.99829000,-81.3411400,15.0
28.99835000,-81.3414600,16.0
28.99831000,-81.3420200,22.0
28.99821000,-81.3422800,23.0
28.99814000,-81.3424600,23.0
28.99810000,-81.3425000,23.0
28.99804000,-81.3425500,22.0
28.99787000,-81.3425600,20.0
28.99768000,-81.3424200,19.0
28.99752000,-81.3423100,17.0
28.99731000,-81.3421600,18.0
28.99697000,-81.3419900,23.0
28.99683000,-81.3418400,25.0
28.99668000,-81.3418400,26.0
28.99656000,-81.3418100,26.0
28.99641000,-81.3417100,27.0
28.99629000,-81.3416300,27.0
28.99613000,-81.3415900,27.0
28.99601000,-81.3415200,27.0
28.99579000,-81.3413500,27.0
28.99557000,-81.3411300,26.0
28.99530000,-81.3409600,27.0
28.99503000,-81.3408600,27.0
28.99483000,-81.3407200,26.0
28.99456000,-81.3406300,22.0
28.99435000,-81.3404200,21.0
28.99408000,-81.3403200,22.0
28.99375000,-81.3400900,23.0
28.99338000,-81.3398900,21.0
28.99279000,-81.3395500,17.0
28.99267000,-81.3394700,15.0
28.99258000,-81.3393600,14.0
28.99240000,-81.3392200,13.0
28.99221000,-81.3391600,13.0
28.99163000,-81.3388500,14.0
28.99106000,-81.3385400,9.0
28.99070000,-81.3383300,7.0
28.99072000,-81.3381900,7.0
28.99076000,-81.3380400,8.0
28.99082000,-81.3380900,7.0
28.99090000,-81.3381000,8.0
28.99102000,-81.3380800,9.0
28.99110000,-81.3380400,9.0
28.99119000,-81.3380000,10.0
