Latitude,Longitude,Elevation
29.02951000,-81.1824800,18.0
29.02950000,-81.1824600,18.0
29.02951000,-81.1824800,18.0
29.02958000,-81.1824600,18.0
29.02984000,-81.1825400,19.0
29.02995000,-81.1824800,18.0
29.03003000,-81.1824000,18.0
29.03012000,-81.1822400,19.0
29.03023000,-81.1821400,19.0
29.03031000,-81.1820000,19.0
29.03037000,-81.1819600,19.0
29.03043000,-81.1819400,19.0
29.03056000,-81.1819700,19.0
29.03070000,-81.1820300,19.0
29.03082000,-81.1821000,18.0
29.03087000,-81.1821000,18.0
29.03098000,-81.1820500,19.0
29.03106000,-81.1819700,19.0
29.03124000,-81.1818600,19.0
29.03131000,-81.1818200,19.0
29.03142000,-81.1815400,20.0
29.03146000,-81.1813500,21.0
29.03153000,-81.1813500,21.0
29.03158000,-81.1813500,21.0
29.03164000,-81.1813700,21.0
29.03171000,-81.1813900,21.0
29.03177000,-81.1814100,21.0
29.03181000,-81.1814400,21.0
29.03186000,-81.1814600,21.0
29.03191000,-81.1814800,21.0
29.03195000,-81.1815000,20.0
29.03200000,-81.1815200,20.0
29.03205000,-81.1815500,20.0
29.03210000,-81.1815800,20.0
29.03216000,-81.1816000,20.0
29.03221000,-81.1816200,20.0
29.03227000,-81.1816300,19.0
29.03232000,-81.1816500,19.0
29.03237000,-81.1816600,18.0
29.03246000,-81.1816700,18.0
29.03252000,-81.1816700,17.0
29.03257000,-81.1816800,17.0
29.03262000,-81.1816900,16.0
29.03268000,-81.1816900,16.0
29.03272000,-81.1816600,15.0
29.03276000,-81.1816400,15.0
29.03281000,-81.1816200,15.0
29.03286000,-81.1816000,14.0
29.03290000,-81.1816000,14.0
29.03295000,-81.1816000,14.0
29.03300000,-81.1816200,14.0
29.03304000,-81.1816400,14.0
29.03310000,-81.1816900,14.0
29.03314000,-81.1817500,14.0
29.03317000,-81.1817900,15.0
29.03319000,-81.1818400,15.0
29.03321000,-81.1819000,15.0
29.03323000,-81.1819600,16.0
29.03324000,-81.1820200,16.0
29.03326000,-81.1821000,17.0
29.03327000,-81.1821500,17.0
29.03328000,-81.1821900,17.0
29.03331000,-81.1823400,18.0
29.03331000,-81.1823900,18.0
