Latitude,Longitude,Elevation
29.21893000,-81.0219500,1.0
29.21892000,-81.0219400,1.0
29.21903000,-81.0213800,1.0
29.21913000,-81.0208200,1.0
29.21911000,-81.0208200,1.0
29.21913000,-81.0208200,1.0
29.21925000,-81.0208200,1.0
29.21928000,-81.0208100,1.0
29.21948000,-81.0208100,1.0
29.21968000,-81.0208100,1.0
29.21989000,-81.0208100,1.0
29.22001000,-81.0208200,1.0
29.22005000,-81.0207900,1.0
29.22010000,-81.0207300,1.0
29.22009000,-81.0206400,1.0
29.22001000,-81.0204600,1.0
29.21985000,-81.0203100,1.0
29.21967000,-81.0201700,1.0
29.21960000,-81.0201200,1.0
29.21948000,-81.0200400,1.0
29.21930000,-81.0199400,1.0
29.21913000,-81.0198300,1.0
29.21911000,-81.0198300,1.0
29.21900000,-81.0198000,1.0
29.21885000,-81.0197700,1.0
29.21869000,-81.0197600,1.0
29.21853000,-81.0198000,1.0
29.21849000,-81.0198400,1.0
29.21843000,-81.0199200,1.0
29.21835000,-81.0200200,1.0
29.21830000,-81.0201500,1.0
29.21827000,-81.0203300,1.0
29.21827000,-81.0204100,1.0
29.21837000,-81.0205700,1.0
29.21843000,-81.0206100,1.0
29.21853000,-81.0206200,1.0
29.21858000,-81.0206500,1.0
29.21868000,-81.0207100,1.0
29.21876000,-81.0207500,1.0
29.21885000,-81.0208000,1.0
29.21894000,-81.0208000,1.0
29.21904000,-81.0208000,1.0
29.21911000,-81.0208200,1.0
29.21913000,-81.0208200,1.0
29.21907000,-81.0211700,1.0
29.21892000,-81.0219400,1.0
29.21893000,-81.0219500,1.0
