Latitude,Longitude,Elevation
29.13189000,-81.1531500,14.0
29.13188000,-81.1531700,14.0
29.13186000,-81.1532200,14.0
29.13184000,-81.1532600,14.0
29.13181000,-81.1533100,14.0
29.13178000,-81.1533600,14.0
29.13175000,-81.1534100,14.0
29.13172000,-81.1534500,13.0
29.13169000,-81.1535000,13.0
29.13168000,-81.1535600,13.0
29.13166000,-81.1536100,13.0
29.13164000,-81.1536600,12.0
29.13161000,-81.1537100,12.0
29.13159000,-81.1537500,12.0
29.13156000,-81.1538000,12.0
29.13154000,-81.1538500,12.0
29.13151000,-81.1539000,11.0
29.13150000,-81.1539400,11.0
29.13148000,-81.1539800,11.0
29.13145000,-81.1540100,11.0
29.13143000,-81.1540500,11.0
29.13140000,-81.1540900,11.0
29.13137000,-81.1541400,11.0
29.13134000,-81.1541900,11.0
29.13130000,-81.1542400,11.0
29.13127000,-81.1542800,11.0
29.13124000,-81.1543200,11.0
29.13122000,-81.1543600,11.0
29.13119000,-81.1544000,11.0
29.13116000,-81.1544400,11.0
29.13114000,-81.1544800,11.0
29.13111000,-81.1545200,11.0
29.13109000,-81.1545600,11.0
29.13107000,-81.1546100,11.0
29.13104000,-81.1546500,11.0
29.13101000,-81.1546900,11.0
29.13097000,-81.1547400,12.0
29.13094000,-81.1547800,12.0
29.13092000,-81.1548300,12.0
29.13089000,-81.1548700,12.0
29.13087000,-81.1549200,12.0
29.13084000,-81.1549600,12.0
29.13082000,-81.1550000,12.0
29.13079000,-81.1550400,11.0
29.13076000,-81.1550800,11.0
29.13074000,-81.1551200,11.0
29.13073000,-81.1551600,11.0
29.13071000,-81.1552000,10.0
29.13069000,-81.1552500,10.0
29.13067000,-81.1553000,10.0
29.13064000,-81.1553400,10.0
29.13063000,-81.1553900,10.0
29.13061000,-81.1554300,10.0
29.13059000,-81.1554600,10.0
29.13056000,-81.1555000,10.0
29.13053000,-81.1555300,10.0
29.13051000,-81.1555700,10.0
29.13049000,-81.1556100,10.0
29.13047000,-81.1556500,10.0
29.13045000,-81.1556900,10.0
29.13042000,-81.1557400,10.0
29.13039000,-81.1557800,10.0
29.13036000,-81.1558200,11.0
29.13033000,-81.1558500,11.0
29.13031000,-81.1558900,11.0
29.13028000,-81.1559400,11.0
29.13026000,-81.1559800,11.0
29.13024000,-81.1560200,11.0
29.13021000,-81.1560500,11.0
29.13019000,-81.1560800,11.0
29.13017000,-81.1561200,11.0
29.13014000,-81.1561600,11.0
29.13011000,-81.1561900,11.0
29.13009000,-81.1562300,12.0
29.13006000,-81.1562600,12.0
29.13002000,-81.1563100,12.0
29.12997000,-81.1563500,12.0
29.12992000,-81.1563900,12.0
29.12988000,-81.1564300,12.0
29.12984000,-81.1564600,12.0
29.12981000,-81.1565000,12.0
29.12976000,-81.1565400,12.0
29.12972000,-81.1565700,12.0
29.12967000,-81.1565900,12.0
29.12963000,-81.1566200,12.0
29.12960000,-81.1566500,12.0
29.12957000,-81.1566900,13.0
29.12954000,-81.1567300,13.0
29.12951000,-81.1567700,13.0
29.12948000,-81.1568000,13.0
29.12945000,-81.1568300,13.0
29.12941000,-81.1568600,13.0
29.12938000,-81.1568900,14.0
29.12934000,-81.1569200,14.0
29.12930000,-81.1569400,14.0
29.12927000,-81.1569700,14.0
29.12924000,-81.1570100,14.0
29.12921000,-81.1570400,14.0
29.12918000,-81.1570700,14.0
29.12915000,-81.1570900,14.0
29.12911000,-81.1571200,14.0
29.12908000,-81.1571500,13.0
29.12904000,-81.1571800,13.0
29.12901000,-81.1572100,13.0
29.12897000,-81.1572500,13.0
29.12894000,-81.1572800,13.0
29.12891000,-81.1573200,13.0
29.12889000,-81.1573600,13.0
29.12886000,-81.1573900,13.0
29.12883000,-81.1574200,14.0
29.12880000,-81.1574400,14.0
29.12877000,-81.1574700,14.0
29.12875000,-81.1575000,15.0
29.12872000,-81.1575200,15.0
29.12868000,-81.1575500,15.0
29.12865000,-81.1575700,15.0
29.12862000,-81.1575800,16.0
29.12859000,-81.1576000,16.0
29.12855000,-81.1576400,16.0
29.12852000,-81.1576800,17.0
29.12848000,-81.1577200,17.0
29.12844000,-81.1577800,18.0
29.12840000,-81.1578300,18.0
29.12837000,-81.1578800,18.0
29.12834000,-81.1579100,18.0
29.12830000,-81.1579400,18.0
29.12827000,-81.1579800,18.0
29.12824000,-81.1580100,18.0
29.12820000,-81.1580400,17.0
29.12818000,-81.1580700,17.0
29.12814000,-81.1581100,16.0
29.12812000,-81.1581500,16.0
29.12809000,-81.1581800,16.0
29.12807000,-81.1582200,16.0
29.12804000,-81.1582500,15.0
29.12801000,-81.1582900,15.0
29.12798000,-81.1583300,15.0
