Latitude,Longitude,Elevation
29.19267000,-81.0252800,11.0
29.19268000,-81.0252600,11.0
29.19268000,-81.0252500,11.0
29.19267000,-81.0252000,11.0
29.19264000,-81.0251800,11.0
29.19263000,-81.0251500,11.0
29.19261000,-81.0251300,11.0
29.19262000,-81.0251000,11.0
29.19265000,-81.0250000,11.0
29.19266000,-81.0249800,11.0
29.19268000,-81.0249100,12.0
29.19268000,-81.0248400,12.0
29.19268000,-81.0248200,12.0
29.19271000,-81.0247100,14.0
29.19271000,-81.0246900,13.0
29.19272000,-81.0246500,13.0
29.19272000,-81.0245800,13.0
29.19276000,-81.0244700,13.0
29.19281000,-81.0244200,13.0
29.19285000,-81.0244000,13.0
29.19291000,-81.0243800,13.0
29.19306000,-81.0243300,13.0
29.19320000,-81.0243200,13.0
29.19327000,-81.0243400,12.0
29.19331000,-81.0243600,12.0
29.19333000,-81.0243700,12.0
29.19346000,-81.0244200,12.0
29.19357000,-81.0244900,12.0
29.19371000,-81.0245600,12.0
29.19381000,-81.0246000,12.0
29.19393000,-81.0246500,12.0
29.19409000,-81.0247400,12.0
29.19420000,-81.0247700,12.0
29.19423000,-81.0247800,12.0
29.19429000,-81.0248100,12.0
29.19432000,-81.0248200,12.0
29.19439000,-81.0248600,12.0
29.19455000,-81.0249700,10.0
29.19461000,-81.0250800,9.0
29.19461000,-81.0251100,9.0
29.19461000,-81.0251900,9.0
29.19461000,-81.0252000,9.0
29.19460000,-81.0252100,9.0
29.19461000,-81.0251900,9.0
29.19460000,-81.0252300,9.0
29.19459000,-81.0252800,8.0
29.19458000,-81.0253200,9.0
29.19456000,-81.0253700,9.0
29.19454000,-81.0254100,10.0
29.19451000,-81.0255000,11.0
29.19448000,-81.0255700,12.0
29.19444000,-81.0256600,12.0
29.19442000,-81.0257200,11.0
29.19433000,-81.0259000,12.0
29.19432000,-81.0259200,12.0
29.19430000,-81.0259900,12.0
29.19427000,-81.0260500,12.0
29.19424000,-81.0261300,12.0
29.19422000,-81.0261700,13.0
29.19414000,-81.0264000,13.0
29.19408000,-81.0265500,13.0
29.19407000,-81.0265900,13.0
29.19402000,-81.0267100,13.0
29.19402000,-81.0267600,13.0
29.19405000,-81.0269300,13.0
29.19417000,-81.0270000,13.0
29.19422000,-81.0270300,13.0
29.19431000,-81.0270800,14.0
29.19440000,-81.0271300,14.0
29.19442000,-81.0271700,14.0
29.19445000,-81.0271600,14.0
