Latitude,Longitude,Elevation
29.06606000,-80.9148900,5.0
29.06606000,-80.9149000,5.0
29.06612000,-80.9149200,6.0
29.06620000,-80.9148300,6.0
29.06626000,-80.9149100,7.0
29.06628000,-80.9149500,7.0
29.06629000,-80.9149800,7.0
29.06630000,-80.9150200,7.0
29.06631000,-80.9150400,7.0
29.06630000,-80.9151100,6.0
29.06627000,-80.9152200,5.0
29.06623000,-80.9154300,4.0
29.06623000,-80.9155100,4.0
29.06628000,-80.9156100,4.0
29.06652000,-80.9157500,3.0
29.06664000,-80.9157900,2.0
29.06679000,-80.9158500,1.0
29.06746000,-80.9158700,3.0
29.06782000,-80.9161100,2.0
29.06788000,-80.9161000,2.0
29.06818000,-80.9162300,2.0
29.06831000,-80.9161900,2.0
29.06934000,-80.9162700,4.0
29.06978000,-80.9163100,3.0
29.06979000,-80.9163500,3.0
29.06992000,-80.9164200,3.0
29.06994000,-80.9164500,3.0
29.06997000,-80.9165400,3.0
29.06995000,-80.9166400,3.0
29.06993000,-80.9167000,4.0
29.06986000,-80.9167900,4.0
29.06975000,-80.9168800,4.0
29.06966000,-80.9169300,4.0
29.06969000,-80.9170800,4.0
29.06989000,-80.9174800,3.0
29.06961000,-80.9177600,3.0
29.06946000,-80.9178900,3.0
29.06961000,-80.9177600,3.0
29.06990000,-80.9174700,3.0
29.06969000,-80.9170800,4.0
29.06966000,-80.9169300,4.0
29.06975000,-80.9168800,4.0
29.06986000,-80.9167900,4.0
29.06993000,-80.9167000,4.0
29.06995000,-80.9166400,3.0
29.06997000,-80.9165400,3.0
29.06994000,-80.9164500,3.0
29.06992000,-80.9164200,3.0
29.06979000,-80.9163500,3.0
29.06978000,-80.9163100,3.0
29.06985000,-80.9163100,3.0
29.06986000,-80.9163100,3.0
29.07011000,-80.9163300,3.0
29.07027000,-80.9163400,3.0
29.07099000,-80.9159200,6.0
29.07121000,-80.9156500,6.0
29.07176000,-80.9141100,5.0
29.07180000,-80.9139800,5.0
29.07196000,-80.9139900,4.0
29.07210000,-80.9140600,4.0
29.07218000,-80.9140800,3.0
29.07217000,-80.9140700,3.0
29.07257000,-80.9138500,3.0
29.07286000,-80.9138700,2.0
29.07302000,-80.9138000,1.0
29.07286000,-80.9138700,2.0
29.07257000,-80.9138500,3.0
29.07217000,-80.9140700,3.0
29.07210000,-80.9140700,4.0
29.07195000,-80.9139800,4.0
29.07179000,-80.9139800,5.0
29.07180000,-80.9139800,5.0
29.07206000,-80.9130700,4.0
29.07207000,-80.9127900,4.0
29.07207000,-80.9127500,4.0
29.07206000,-80.9127400,4.0
29.07205000,-80.9127300,4.0
29.07182000,-80.9125600,5.0
29.07173000,-80.9124400,6.0
29.07158000,-80.9123700,6.0
29.07163000,-80.9122600,6.0
29.07164000,-80.9120700,6.0
29.07187000,-80.9116900,3.0
29.07194000,-80.9115900,2.0
29.07196000,-80.9115500,2.0
29.07187000,-80.9116900,3.0
29.07164000,-80.9120700,6.0
29.07163000,-80.9122600,6.0
29.07158000,-80.9123700,6.0
29.07147000,-80.9123200,7.0
29.07111000,-80.9122500,6.0
29.07076000,-80.9119700,8.0
29.07074000,-80.9119600,8.0
29.07057000,-80.9118600,7.0
29.07064000,-80.9117000,7.0
29.07081000,-80.9115800,7.0
29.07085000,-80.9114100,7.0
29.07086000,-80.9111300,5.0
29.07090000,-80.9110400,4.0
29.07086000,-80.9111300,5.0
29.07085000,-80.9114100,7.0
29.07081000,-80.9115800,7.0
29.07064000,-80.9117000,7.0
29.07057000,-80.9118600,7.0
29.07044000,-80.9117800,6.0
29.06975000,-80.9112100,5.0
29.06966000,-80.9111000,6.0
29.06940000,-80.9109400,6.0
29.06950000,-80.9107200,5.0
29.06950000,-80.9107100,5.0
29.06945000,-80.9105400,5.0
