Latitude,Longitude,Elevation
28.99075000,-81.3380500,8.0
28.99076000,-81.3380500,8.0
28.99072000,-81.3381900,7.0
28.99070000,-81.3383300,7.0
28.99065000,-81.3386100,7.0
28.99063000,-81.3387000,7.0
28.99060000,-81.3387700,8.0
28.99056000,-81.3388700,8.0
28.99050000,-81.3390200,11.0
28.98996000,-81.3387200,10.0
28.98967000,-81.3385400,11.0
28.98941000,-81.3383900,11.0
28.98916000,-81.3382600,17.0
28.98893000,-81.3381700,21.0
28.98875000,-81.3380900,23.0
28.98843000,-81.3379100,23.0
28.98824000,-81.3377600,21.0
28.98792000,-81.3375000,18.0
28.98778000,-81.3374100,19.0
28.98756000,-81.3373300,22.0
28.98730000,-81.3371900,20.0
28.98712000,-81.3370700,17.0
28.98698000,-81.3369400,15.0
28.98687000,-81.3368600,14.0
28.98660000,-81.3367300,15.0
28.98612000,-81.3364800,18.0
28.98594000,-81.3363700,19.0
28.98568000,-81.3361500,19.0
28.98554000,-81.3360900,19.0
28.98535000,-81.3359500,18.0
28.98480000,-81.3356100,15.0
28.98434000,-81.3353200,16.0
28.98388000,-81.3350900,19.0
28.98343000,-81.3348200,17.0
28.98311000,-81.3346200,16.0
28.98250000,-81.3342800,15.0
28.98216000,-81.3340500,12.0
28.98155000,-81.3337400,11.0
28.98122000,-81.3335700,14.0
28.98097000,-81.3334500,15.0
28.98091000,-81.3334100,15.0
28.98079000,-81.3332700,13.0
28.98071000,-81.3332100,13.0
28.98051000,-81.3331300,13.0
28.98011000,-81.3329300,13.0
28.97987000,-81.3328100,13.0
28.97960000,-81.3327100,13.0
28.97928000,-81.3326200,12.0
28.97910000,-81.3325800,13.0
28.97887000,-81.3325900,17.0
28.97879000,-81.3325900,18.0
28.97870000,-81.3325600,18.0
28.97863000,-81.3325400,19.0
28.97855000,-81.3325500,20.0
28.97848000,-81.3325400,20.0
28.97832000,-81.3325100,19.0
28.97819000,-81.3325100,17.0
28.97806000,-81.3325300,15.0
28.97796000,-81.3325400,14.0
28.97789000,-81.3325300,13.0
28.97759000,-81.3324400,14.0
28.97750000,-81.3324300,14.0
28.97735000,-81.3324400,15.0
28.97725000,-81.3324400,16.0
28.97715000,-81.3324300,15.0
28.97700000,-81.3324700,15.0
28.97689000,-81.3324900,15.0
28.97669000,-81.3325100,15.0
28.97646000,-81.3326000,17.0
28.97629000,-81.3325800,19.0
28.97611000,-81.3325300,21.0
28.97578000,-81.3325000,20.0
28.97545000,-81.3324900,19.0
28.97504000,-81.3325100,19.0
28.97491000,-81.3325100,18.0
28.97479000,-81.3325000,16.0
28.97451000,-81.3324900,16.0
28.97418000,-81.3324800,15.0
28.97341000,-81.3325300,15.0
28.97302000,-81.3325600,11.0
28.97272000,-81.3325600,13.0
28.97206000,-81.3325000,15.0
28.97168000,-81.3324800,19.0
28.97153000,-81.3324900,18.0
28.97127000,-81.3325500,17.0
28.97114000,-81.3325700,16.0
28.97102000,-81.3325600,17.0
28.97068000,-81.3324700,19.0
28.97047000,-81.3324400,17.0
28.97022000,-81.3324400,16.0
28.96976000,-81.3324900,19.0
28.96954000,-81.3325000,19.0
28.96930000,-81.3324800,19.0
28.96918000,-81.3324800,18.0
28.96897000,-81.3325000,18.0
28.96882000,-81.3324900,19.0
28.96831000,-81.3324500,22.0
28.96757000,-81.3324500,24.0
28.96742000,-81.3324800,24.0
28.96724000,-81.3325400,24.0
28.96700000,-81.3325800,24.0
28.96673000,-81.3325600,26.0
28.96653000,-81.3325100,26.0
28.96616000,-81.3324500,26.0
28.96598000,-81.3324700,27.0
28.96577000,-81.3325200,28.0
28.96566000,-81.3325300,27.0
28.96540000,-81.3324900,26.0
28.96514000,-81.3324800,27.0
28.96484000,-81.3324500,27.0
28.96471000,-81.3324700,26.0
28.96448000,-81.3325400,27.0
28.96437000,-81.3325400,27.0
28.96419000,-81.3324900,29.0
28.96406000,-81.3324900,30.0
28.96371000,-81.3325200,33.0
28.96366000,-81.3325100,34.0
28.96358000,-81.3324900,34.0
28.96343000,-81.3324600,33.0
28.96281000,-81.3324500,29.0
28.96179000,-81.3324800,33.0
28.96040000,-81.3325100,35.0
28.95969000,-81.3325400,33.0
28.95955000,-81.3325300,31.0
28.95916000,-81.3324200,28.0
28.95901000,-81.3324000,29.0
28.95792000,-81.3324000,26.0
28.95743000,-81.3324600,33.0
28.95729000,-81.3324700,34.0
28.95697000,-81.3324500,34.0
28.95643000,-81.3324500,29.0
28.95520000,-81.3324500,29.0
28.95413000,-81.3324400,25.0
28.95322000,-81.3324600,27.0
28.95305000,-81.3324700,26.0
28.95295000,-81.3324900,26.0
28.95286000,-81.3325400,26.0
28.95274000,-81.3326500,25.0
28.95261000,-81.3328900,26.0
28.95252000,-81.3331600,27.0
28.95251000,-81.3332800,28.0
28.95249000,-81.3334100,29.0
28.95248000,-81.3334400,29.0
28.95238000,-81.3334400,28.0
28.95237000,-81.3334400,28.0
28.95231000,-81.3334400,28.0
28.95192000,-81.3334400,27.0
28.94967000,-81.3334000,22.0
28.94886000,-81.3333500,26.0
28.94728000,-81.3333500,25.0
28.94550000,-81.3332800,22.0
28.94481000,-81.3333500,18.0
28.94460000,-81.3333600,17.0
28.94451000,-81.3333400,16.0
28.94445000,-81.3333200,16.0
28.94440000,-81.3332800,15.0
28.94437000,-81.3332200,16.0
28.94436000,-81.3331500,16.0
28.94435000,-81.3330700,17.0
28.94436000,-81.3327000,20.0
28.94436000,-81.3326200,20.0
28.94433000,-81.3325600,20.0
28.94430000,-81.3325100,20.0
28.94426000,-81.3324800,20.0
28.94421000,-81.3324800,21.0
28.94377000,-81.3324800,19.0
28.94295000,-81.3324800,19.0
28.94295000,-81.3320900,20.0
28.94177000,-81.3321100,16.0
28.94172000,-81.3321100,16.0
28.94118000,-81.3321100,18.0
28.94096000,-81.3319800,17.0
28.94086000,-81.3319600,16.0
28.93971000,-81.3319400,22.0
28.93908000,-81.3319300,21.0
28.93885000,-81.3319100,21.0
28.93868000,-81.3319100,23.0
28.93851000,-81.3319300,23.0
28.93829000,-81.3319900,23.0
28.93806000,-81.3320100,22.0
28.93788000,-81.3320100,22.0
28.93769000,-81.3319700,23.0
28.93748000,-81.3319900,25.0
28.93697000,-81.3320500,24.0
28.93652000,-81.3321500,19.0
28.93623000,-81.3322000,19.0
28.93606000,-81.3322200,20.0
28.93573000,-81.3322200,20.0
28.93552000,-81.3322300,20.0
28.93494000,-81.3323200,20.0
28.93448000,-81.3323700,23.0
28.93408000,-81.3324200,20.0
28.93363000,-81.3324500,18.0
28.93272000,-81.3324700,25.0
28.93250000,-81.3324500,25.0
28.93242000,-81.3324400,24.0
28.93226000,-81.3324000,24.0
28.93217000,-81.3323400,24.0
28.93210000,-81.3322700,24.0
28.93205000,-81.3321500,23.0
28.93188000,-81.3317700,19.0
28.93179000,-81.3316500,16.0
28.93171000,-81.3315800,15.0
28.93161000,-81.3315400,15.0
28.93145000,-81.3315100,15.0
28.93124000,-81.3314900,18.0
28.93109000,-81.3315300,21.0
28.93098000,-81.3315800,21.0
28.93084000,-81.3317200,21.0
28.93075000,-81.3318500,21.0
28.93067000,-81.3320500,21.0
28.93064000,-81.3321300,20.0
28.93058000,-81.3322100,20.0
28.93048000,-81.3323000,20.0
28.93038000,-81.3323600,20.0
28.93026000,-81.3323900,21.0
28.93014000,-81.3323900,21.0
28.93001000,-81.3324000,21.0
28.92987000,-81.3323600,20.0
28.92978000,-81.3323200,20.0
28.92963000,-81.3322900,20.0
28.92939000,-81.3323000,18.0
28.92882000,-81.3323300,16.0
28.92866000,-81.3323600,18.0
28.92852000,-81.3323700,18.0
28.92837000,-81.3323700,17.0
28.92801000,-81.3323600,20.0
28.92776000,-81.3323200,23.0
28.92756000,-81.3323000,23.0
28.92717000,-81.3323200,23.0
28.92693000,-81.3323600,22.0
28.92659000,-81.3323900,21.0
28.92640000,-81.3324300,21.0
28.92621000,-81.3324300,21.0
28.92580000,-81.3324200,17.0
28.92568000,-81.3324000,17.0
28.92549000,-81.3323400,19.0
28.92541000,-81.3323400,19.0
28.92529000,-81.3323600,20.0
28.92512000,-81.3324000,22.0
28.92501000,-81.3324100,23.0
28.92480000,-81.3323800,25.0
28.92445000,-81.3323200,26.0
28.92418000,-81.3323500,26.0
