latitude,longitude,altitude
29.06712,-81.00146,7.23
29.06711,-81.00146,7.23
29.06708,-81.00125,8.0
29.0661,-81.00076,8.0
29.06598,-81.00056,8.0
29.06591,-81.00031,8.0
29.06581,-81.00002,8.25
29.06566,-80.99954,8.0
29.06565,-80.99932,9.0
29.06557,-80.99916,9.0
29.06519,-80.99875,9.0
29.06513,-80.99839,9.0
29.06513,-80.99818,9.0
29.06503,-80.99761,9.55
29.06499,-80.99722,10.89
29.06504,-80.99683,11.0
29.06513,-80.99658,11.0
29.06516,-80.99647,10.64
29.06508,-80.99579,10.0
29.06504,-80.99533,11.0
29.06506,-80.99515,11.0
29.06499,-80.99456,11.0
29.06493,-80.99446,11.0
29.06486,-80.99418,11.0
29.06442,-80.99398,11.0
29.06427,-80.99382,11.0
29.06413,-80.99382,11.0
29.06394,-80.99373,11.0
29.06378,-80.99362,11.0
29.06388,-80.9936,11.0
29.06407,-80.99358,11.0
29.06425,-80.99362,11.0
29.06453,-80.9935,10.06
29.06479,-80.99347,10.0
29.06575,-80.99358,10.66
29.0666,-80.99354,10.0
29.06672,-80.99355,10.0
29.06688,-80.99349,9.48
29.06702,-80.9935,8.84
29.06708,-80.99366,9.53
29.06715,-80.99393,11.0
29.06717,-80.99403,11.0
29.06712,-80.99429,11.7
29.0671,-80.99444,11.02
29.06711,-80.99457,11.0
29.06723,-80.99474,10.0
29.06743,-80.99453,10.06
29.06759,-80.99423,10.34
29.06804,-80.99387,10.0
29.06811,-80.99374,10.0
29.06829,-80.99383,10.0
29.06877,-80.99384,9.0
29.06902,-80.99385,8.0
29.06917,-80.9938,8.0
29.06934,-80.99379,8.0
29.06951,-80.99371,8.0
29.06987,-80.99352,8.0
29.06981,-80.99316,6.0
29.06981,-80.99298,6.05
29.07014,-80.99253,5.16
29.07015,-80.99226,4.63
29.06996,-80.99195,4.0
29.06982,-80.99192,4.0
29.06966,-80.99194,4.0
29.06948,-80.99217,5.0
29.06931,-80.99216,5.15
29.06914,-80.99221,5.87
29.06894,-80.9922,5.87
29.06874,-80.99221,6.53
29.06853,-80.9922,6.76
29.06837,-80.99219,7.39
29.06825,-80.99206,6.25
29.06825,-80.99191,5.63
29.06814,-80.99175,4.91
29.06799,-80.99145,4.0
29.06805,-80.9913,4.0
29.06857,-80.99075,2.1
29.06897,-80.9907,2.95
29.06921,-80.99078,3.0
29.06945,-80.99071,3.0
29.06966,-80.99065,2.68
29.06984,-80.99075,3.0
29.06996,-80.99086,3.0
29.06986,-80.99107,3.0
29.07006,-80.99118,3.0
29.07047,-80.99093,3.0
29.07084,-80.99108,2.98
29.07103,-80.99135,2.95
29.07106,-80.99193,4.0
29.07106,-80.99241,3.02
29.07101,-80.99267,4.0
29.07101,-80.99287,3.0
29.07068,-80.99297,2.66
29.07039,-80.99311,4.59
29.07024,-80.99351,8.0
29.07004,-80.99386,8.0
29.07047,-80.9941,9.33
29.07056,-80.99447,11.0
29.07041,-80.99467,10.0
29.07058,-80.99507,10.0
29.07057,-80.99545,10.98
29.07056,-80.9956,11.98
29.07046,-80.99607,12.0
29.0703,-80.99624,12.0
29.07024,-80.99644,12.0
29.07039,-80.99654,12.0
29.07049,-80.99659,12.0
29.07049,-80.99675,12.0
29.07043,-80.9969,12.0
29.07042,-80.99706,11.75
29.07042,-80.99715,11.0
29.07056,-80.99738,11.01
29.07062,-80.99742,11.0
29.07071,-80.99742,11.58
29.07086,-80.99752,11.23
29.07104,-80.99782,10.89
29.07125,-80.99794,10.0
29.07131,-80.99826,9.82
29.07166,-80.99853,9.94
29.07204,-80.99866,11.0
29.07217,-80.99862,11.0
29.07241,-80.99883,10.64
29.07283,-80.99882,7.85
29.07298,-80.9989,7.77
29.07316,-80.99902,7.42
29.07331,-80.99912,7.62
29.0735,-80.99894,5.1
29.0739,-80.99886,3.5
29.07398,-80.99876,2.21
29.0743,-80.99886,5.06
29.07477,-80.99938,7.64
