Latitude,Longitude,Elevation
29.01280000,-81.3923400,16.0
29.01281000,-81.3923500,16.0
29.01275000,-81.3924500,17.0
29.01271000,-81.3925000,17.0
29.01268000,-81.3925800,17.0
29.01268000,-81.3926500,17.0
29.01269000,-81.3927100,17.0
29.01270000,-81.3927800,16.0
29.01269000,-81.3928300,16.0
29.01268000,-81.3928900,16.0
29.01266000,-81.3929600,17.0
29.01264000,-81.3930100,17.0
29.01263000,-81.3930600,17.0
29.01263000,-81.3931100,16.0
29.01263000,-81.3931700,16.0
29.01265000,-81.3932400,15.0
29.01266000,-81.3933000,15.0
29.01266000,-81.3933600,15.0
29.01266000,-81.3934100,15.0
29.01265000,-81.3934700,15.0
29.01263000,-81.3935200,15.0
29.01259000,-81.3935700,15.0
29.01255000,-81.3936200,14.0
29.01252000,-81.3936600,14.0
29.01247000,-81.3937000,14.0
29.01242000,-81.3937300,14.0
29.01238000,-81.3937700,14.0
29.01235000,-81.3938300,14.0
29.01232000,-81.3938800,14.0
29.01230000,-81.3939300,13.0
29.01229000,-81.3939900,13.0
29.01230000,-81.3940600,13.0
29.01231000,-81.3941100,13.0
29.01233000,-81.3941800,13.0
29.01236000,-81.3942200,13.0
29.01238000,-81.3942700,12.0
29.01241000,-81.3943200,12.0
29.01242000,-81.3943700,12.0
29.01244000,-81.3944300,11.0
29.01245000,-81.3944900,12.0
29.01246000,-81.3945400,12.0
29.01245000,-81.3946200,12.0
29.01247000,-81.3946700,13.0
29.01248000,-81.3947300,13.0
29.01248000,-81.3947900,14.0
29.01249000,-81.3948500,15.0
29.01250000,-81.3949200,16.0
29.01251000,-81.3949700,16.0
29.01251000,-81.3950400,17.0
29.01251000,-81.3950900,17.0
29.01251000,-81.3951500,18.0
29.01252000,-81.3952000,18.0
29.01253000,-81.3952600,18.0
29.01255000,-81.3953200,18.0
29.01259000,-81.3953700,17.0
29.01262000,-81.3954100,16.0
29.01265000,-81.3954700,16.0
29.01268000,-81.3955200,15.0
29.01269000,-81.3955800,14.0
29.01270000,-81.3956300,14.0
29.01271000,-81.3956800,13.0
29.01271000,-81.3957700,12.0
29.01271000,-81.3958400,11.0
29.01271000,-81.3959200,11.0
29.01271000,-81.3959800,10.0
29.01271000,-81.3960500,10.0
29.01270000,-81.3961100,10.0
29.01269000,-81.3961800,10.0
29.01269000,-81.3962500,11.0
29.01267000,-81.3963000,11.0
29.01265000,-81.3963500,11.0
29.01262000,-81.3964000,12.0
29.01259000,-81.3964600,12.0
29.01256000,-81.3965000,13.0
29.01254000,-81.3965600,13.0
29.01252000,-81.3966100,14.0
29.01251000,-81.3966900,15.0
29.01251000,-81.3967600,15.0
29.01251000,-81.3968300,16.0
29.01250000,-81.3968900,16.0
29.01250000,-81.3969500,16.0
29.01248000,-81.3970200,16.0
29.01246000,-81.3970700,16.0
29.01242000,-81.3971300,16.0
29.01240000,-81.3971700,16.0
29.01236000,-81.3973300,16.0
29.01236000,-81.3973800,16.0
29.01235000,-81.3974400,17.0
29.01234000,-81.3975000,17.0
29.01231000,-81.3975500,17.0
29.01227000,-81.3975900,17.0
29.01223000,-81.3976400,17.0
29.01219000,-81.3976900,17.0
29.01215000,-81.3977200,16.0
29.01211000,-81.3977500,16.0
29.01207000,-81.3978000,15.0
29.01203000,-81.3978400,15.0
29.01198000,-81.3979000,14.0
29.01195000,-81.3979500,14.0
29.01192000,-81.3979900,13.0
29.01188000,-81.3980400,13.0
29.01185000,-81.3980900,13.0
29.01183000,-81.3981400,13.0
29.01181000,-81.3982000,14.0
29.01181000,-81.3982600,14.0
29.01181000,-81.3983200,14.0
29.01180000,-81.3983800,14.0
29.01179000,-81.3984500,14.0
29.01177000,-81.3985200,15.0
29.01174000,-81.3986000,15.0
