Latitude,Longitude,Elevation
29.24854000,-81.0367500,4.0
29.24854000,-81.0367400,4.0
29.24851000,-81.0367100,3.0
29.24843000,-81.0366700,3.0
29.24840000,-81.0366500,3.0
29.24836000,-81.0365900,2.0
29.24833000,-81.0365500,2.0
29.24826000,-81.0365000,2.0
29.24827000,-81.0363400,2.0
29.24834000,-81.0361700,2.0
29.24840000,-81.0360200,3.0
29.24843000,-81.0359300,4.0
29.24851000,-81.0357400,4.0
29.24855000,-81.0356300,2.0
29.24869000,-81.0355200,1.0
29.24882000,-81.0354100,1.0
29.24885000,-81.0353900,1.0
29.24901000,-81.0352400,1.0
29.24923000,-81.0350600,1.0
29.24928000,-81.0350100,1.0
29.24932000,-81.0349700,1.0
29.24933000,-81.0349600,1.0
29.24935000,-81.0349400,1.0
29.24934000,-81.0349600,1.0
29.24937000,-81.0349200,1.0
29.24940000,-81.0348700,1.0
29.24943000,-81.0348300,1.0
29.24947000,-81.0347900,1.0
29.24950000,-81.0347500,1.0
29.24953000,-81.0347100,1.0
29.24956000,-81.0346700,1.0
29.24960000,-81.0346200,1.0
29.24963000,-81.0345700,1.0
29.24967000,-81.0345100,1.0
29.24971000,-81.0344600,1.0
29.24973000,-81.0344200,1.0
29.24977000,-81.0343700,1.0
29.24980000,-81.0343200,1.0
29.24984000,-81.0342800,1.0
29.24987000,-81.0342400,1.0
29.24990000,-81.0342000,1.0
29.24992000,-81.0341500,1.0
29.24995000,-81.0341100,1.0
29.24994000,-81.0341200,1.0
29.24991000,-81.0341600,1.0
29.24988000,-81.0342000,1.0
29.24984000,-81.0342400,1.0
29.24981000,-81.0342800,1.0
29.24979000,-81.0343300,1.0
29.24975000,-81.0343700,1.0
29.24973000,-81.0344000,1.0
29.24970000,-81.0344500,1.0
29.24967000,-81.0344900,1.0
29.24963000,-81.0345300,1.0
29.24960000,-81.0345800,1.0
29.24957000,-81.0346200,1.0
29.24954000,-81.0346700,1.0
29.24951000,-81.0347100,1.0
29.24948000,-81.0347600,1.0
29.24945000,-81.0348000,1.0
29.24941000,-81.0348300,1.0
29.24937000,-81.0348700,1.0
29.24934000,-81.0349100,1.0
29.24934000,-81.0349600,1.0
29.24934000,-81.0350100,1.0
29.24934000,-81.0350300,1.0
29.24935000,-81.0350300,1.0
29.24935000,-81.0350800,1.0
29.24935000,-81.0352000,1.0
29.24934000,-81.0355700,1.0
29.24927000,-81.0356600,1.0
29.24923000,-81.0357200,1.0
29.24916000,-81.0358200,1.0
29.24912000,-81.0361300,4.0
29.24908000,-81.0363500,4.0
29.24902000,-81.0364700,4.0
29.24899000,-81.0366000,5.0
29.24898000,-81.0367100,5.0
29.24897000,-81.0368500,7.0
29.24897000,-81.0368600,7.0
29.24896000,-81.0368900,7.0
29.24866000,-81.0367700,4.0
29.24855000,-81.0367300,4.0
29.24854000,-81.0367500,4.0
